time,pressure_hpa,temperature_c,relative_humidity_pct,dew_point_c,wind_speed_ms,wind_direction_deg,geopotential_height_m
2026-07-30 00:00:00+00:00,1000.0,22.3,44.0,9.459294628919897,4.78,106.0,187.0
2026-07-30 00:00:00+00:00,950.0,23.2,36.0,7.303365859846214,3.7,126.0,632.0
2026-07-30 00:00:00+00:00,925.0,21.7,39.0,7.1408147015835715,0.9,120.0,867.0
2026-07-30 00:00:00+00:00,850.0,16.3,51.0,6.1418104446762625,4.96,341.0,1593.0
2026-07-30 00:00:00+00:00,800.0,13.1,57.0,4.770509348578311,5.15,3.0,2103.0
2026-07-30 00:00:00+00:00,700.0,7.2,37.0,-6.536736863635038,3.81,355.0,3218.0
2026-07-30 00:00:00+00:00,600.0,-1.5,44.0,-12.18687681973776,6.3,296.0,4465.0
2026-07-30 00:00:00+00:00,500.0,-12.1,59.0,-18.487657289704885,12.3,303.0,5888.0
2026-07-30 00:00:00+00:00,400.0,-23.9,17.0,-42.1139508293885,14.68,309.0,7551.85
2026-07-30 00:00:00+00:00,300.0,-38.0,26.0,-50.420076139059795,21.38,301.0,9593.55
2026-07-30 00:00:00+00:00,250.0,-48.0,49.0,-54.13566073161242,25.06,299.0,10822.86
2026-07-30 00:00:00+00:00,200.0,-46.5,3.0,-73.738645969195,22.9,291.0,12295.35
2026-07-30 01:00:00+00:00,1000.0,22.0,44.0,9.187613228905345,4.69,101.0,185.0
2026-07-30 01:00:00+00:00,950.0,23.2,36.0,7.303365859846214,3.42,118.0,631.0
2026-07-30 01:00:00+00:00,925.0,21.5,39.0,6.96220011816225,0.68,99.0,865.0
2026-07-30 01:00:00+00:00,850.0,16.3,52.0,6.423598808236563,5.17,338.0,1591.0
2026-07-30 01:00:00+00:00,800.0,12.6,64.0,5.967924950068302,5.29,5.0,2101.0
2026-07-30 01:00:00+00:00,700.0,6.8,38.0,-6.546371917470396,3.32,351.0,3215.0
2026-07-30 01:00:00+00:00,600.0,-1.7,44.0,-12.36957713279488,6.51,295.0,4462.0
2026-07-30 01:00:00+00:00,500.0,-12.4,59.0,-18.77130136541578,11.94,306.0,5884.0
2026-07-30 01:00:00+00:00,400.0,-23.5,13.0,-44.2829198494865,14.21,309.0,7546.91
2026-07-30 01:00:00+00:00,300.0,-38.0,24.0,-51.11088350587112,20.92,301.0,9590.32
2026-07-30 01:00:00+00:00,250.0,-48.0,51.0,-53.801802751617274,24.02,299.0,10819.05
2026-07-30 01:00:00+00:00,200.0,-46.5,3.0,-73.738645969195,23.21,291.0,12290.7
2026-07-30 02:00:00+00:00,1000.0,21.8,44.0,9.006475777401526,4.61,94.0,183.0
2026-07-30 02:00:00+00:00,950.0,23.2,35.0,6.891883488694893,3.64,109.0,630.0
2026-07-30 02:00:00+00:00,925.0,21.5,40.0,7.332155268807101,0.79,82.0,863.0
2026-07-30 02:00:00+00:00,850.0,16.3,53.0,6.700639362880668,5.53,340.0,1589.0
2026-07-30 02:00:00+00:00,800.0,12.4,66.0,6.223702105699947,5.71,4.0,2100.0
2026-07-30 02:00:00+00:00,700.0,6.7,38.0,-6.635975264257918,3.01,347.0,3211.0
2026-07-30 02:00:00+00:00,600.0,-1.8,45.0,-12.181667111230324,6.61,297.0,4458.0
2026-07-30 02:00:00+00:00,500.0,-12.6,60.0,-18.76322414537001,11.14,309.0,5879.0
2026-07-30 02:00:00+00:00,400.0,-23.2,15.0,-42.70522542719143,14.07,306.0,7543.21
2026-07-30 02:00:00+00:00,300.0,-38.0,24.0,-51.11088350587112,20.35,302.0,9585.48
2026-07-30 02:00:00+00:00,250.0,-48.5,53.0,-53.95200750266286,23.32,301.0,10815.24
2026-07-30 02:00:00+00:00,200.0,-46.0,5.0,-69.86375749846098,23.1,290.0,12288.37
2026-07-30 03:00:00+00:00,1000.0,21.7,45.0,9.249386017284365,4.4,87.0,182.0
2026-07-30 03:00:00+00:00,950.0,22.8,36.0,6.9496744465252975,4.05,101.0,630.0
2026-07-30 03:00:00+00:00,925.0,21.4,40.0,7.2425779313134395,1.06,72.0,862.0
2026-07-30 03:00:00+00:00,850.0,16.2,54.0,6.880162291149359,5.69,343.0,1588.0
2026-07-30 03:00:00+00:00,800.0,12.4,65.0,6.002447321544894,6.4,4.0,2100.0
2026-07-30 03:00:00+00:00,700.0,6.5,38.0,-6.815193453723529,2.68,345.0,3209.0
2026-07-30 03:00:00+00:00,600.0,-2.0,45.0,-12.364830201122865,6.71,298.0,4455.0
2026-07-30 03:00:00+00:00,500.0,-12.8,60.0,-18.95267342231119,10.16,311.0,5876.0
2026-07-30 03:00:00+00:00,400.0,-22.9,15.0,-42.45612875376489,13.68,304.0,7540.74
2026-07-30 03:00:00+00:00,300.0,-38.0,24.0,-51.11088350587112,19.97,303.0,9583.87
2026-07-30 03:00:00+00:00,250.0,-48.5,56.0,-53.491313777443814,22.47,302.0,10811.43
2026-07-30 03:00:00+00:00,200.0,-46.0,5.0,-69.86375749846098,23.1,290.0,12286.05
2026-07-30 04:00:00+00:00,1000.0,21.3,49.0,10.15417276514674,3.83,83.0,183.0
2026-07-30 04:00:00+00:00,950.0,22.6,37.0,7.1726127885638595,4.15,100.0,628.0
2026-07-30 04:00:00+00:00,925.0,21.3,41.0,7.514354626506488,1.56,69.0,863.0
2026-07-30 04:00:00+00:00,850.0,15.9,55.0,6.8685763981054455,5.64,351.0,1588.0
2026-07-30 04:00:00+00:00,800.0,12.6,63.0,5.740175515567538,6.33,9.0,2097.0
2026-07-30 04:00:00+00:00,700.0,6.5,38.0,-6.815193453723529,2.68,345.0,3209.0
2026-07-30 04:00:00+00:00,600.0,-2.0,45.0,-12.364830201122865,6.51,299.0,4455.0
2026-07-30 04:00:00+00:00,500.0,-12.8,56.0,-19.758547678223056,8.97,312.0,5876.0
2026-07-30 04:00:00+00:00,400.0,-22.6,15.0,-42.20709238509489,12.94,305.0,7541.98
2026-07-30 04:00:00+00:00,300.0,-38.0,26.0,-50.420076139059795,19.61,305.0,9583.87
2026-07-30 04:00:00+00:00,250.0,-48.5,58.0,-53.196526136683985,21.45,303.0,10811.43
2026-07-30 04:00:00+00:00,200.0,-46.0,5.0,-69.86375749846098,22.67,290.0,12283.72
2026-07-30 05:00:00+00:00,1000.0,20.9,53.0,10.96360879980031,3.2,76.0,185.0
2026-07-30 05:00:00+00:00,950.0,22.4,39.0,7.7658488845309845,4.18,102.0,629.0
2026-07-30 05:00:00+00:00,925.0,21.3,41.0,7.514354626506488,2.16,69.0,864.0
2026-07-30 05:00:00+00:00,850.0,15.7,56.0,6.944872308826023,5.57,360.0,1589.0
2026-07-30 05:00:00+00:00,800.0,12.6,64.0,5.967924950068302,6.3,14.0,2098.0
2026-07-30 05:00:00+00:00,700.0,6.7,37.0,-6.9833982952008675,2.64,349.0,3210.0
2026-07-30 05:00:00+00:00,600.0,-1.8,46.0,-11.907885010109716,6.43,302.0,4456.0
2026-07-30 05:00:00+00:00,500.0,-12.6,50.0,-20.883897066450253,7.81,310.0,5877.0
2026-07-30 05:00:00+00:00,400.0,-22.6,17.0,-41.02160930185136,12.4,306.0,7544.44
