time,cape,convective_inhibition,freezing_level_height,boundary_layer_height,total_column_integrated_water_vapour,wet_bulb_temperature_2m
2026-07-30 00:00:00+00:00,0.0,0.0,4270.0,95.0,25.4,14.4
2026-07-30 01:00:00+00:00,0.0,0.0,4280.0,80.0,25.6,14.0
2026-07-30 02:00:00+00:00,0.0,0.0,4250.0,70.0,25.8,13.6
2026-07-30 03:00:00+00:00,0.0,0.0,4220.0,65.0,26.0,13.6
2026-07-30 04:00:00+00:00,0.0,0.0,4210.0,65.0,25.9,13.7
2026-07-30 05:00:00+00:00,0.0,0.0,4170.0,105.0,25.7,14.4
2026-07-30 06:00:00+00:00,0.0,0.0,4180.0,145.0,25.8,15.5
2026-07-30 07:00:00+00:00,0.0,0.0,4180.0,300.0,25.7,16.2
2026-07-30 08:00:00+00:00,0.0,0.0,4200.0,930.0,25.7,17.5
2026-07-30 09:00:00+00:00,0.0,0.0,4210.0,1410.0,25.6,18.3
2026-07-30 10:00:00+00:00,0.0,0.0,4240.0,1735.0,25.5,19.1
2026-07-30 11:00:00+00:00,0.0,0.0,4220.0,1910.0,25.4,19.4
2026-07-30 12:00:00+00:00,0.0,0.0,4220.0,2060.0,25.9,19.8
2026-07-30 13:00:00+00:00,0.0,0.0,4240.0,2100.0,25.7,19.7
2026-07-30 14:00:00+00:00,0.0,0.0,4250.0,2190.0,25.7,19.4
2026-07-30 15:00:00+00:00,0.0,0.0,4260.0,2260.0,25.5,19.3
2026-07-30 16:00:00+00:00,0.0,0.0,4250.0,2145.0,25.0,19.2
2026-07-30 17:00:00+00:00,0.0,0.0,4240.0,440.0,24.1,19.2
2026-07-30 18:00:00+00:00,0.0,0.0,4250.0,260.0,23.8,18.8
2026-07-30 19:00:00+00:00,0.0,0.0,4250.0,240.0,22.4,18.5
2026-07-30 20:00:00+00:00,0.0,0.0,4210.0,155.0,22.5,17.4
2026-07-30 21:00:00+00:00,0.0,0.0,4170.0,105.0,23.0,17.1
2026-07-30 22:00:00+00:00,0.0,0.0,4160.0,75.0,22.7,16.8
2026-07-30 23:00:00+00:00,0.0,0.0,4140.0,75.0,22.1,16.6
2026-07-31 00:00:00+00:00,0.0,0.0,4160.0,80.0,21.6,16.2
2026-07-31 01:00:00+00:00,0.0,0.0,4180.0,90.0,21.2,16.2
2026-07-31 02:00:00+00:00,0.0,0.0,4130.0,85.0,20.8,16.4
2026-07-31 03:00:00+00:00,0.0,0.0,4110.0,75.0,20.5,16.0
2026-07-31 04:00:00+00:00,0.0,0.0,4140.0,85.0,19.7,15.9
2026-07-31 05:00:00+00:00,0.0,0.0,4070.0,105.0,19.4,16.8
2026-07-31 06:00:00+00:00,0.0,0.0,4070.0,125.0,20.3,17.7
2026-07-31 07:00:00+00:00,0.0,0.0,4080.0,240.0,21.1,18.6
2026-07-31 08:00:00+00:00,0.0,0.0,4120.0,815.0,22.3,19.2
2026-07-31 09:00:00+00:00,0.0,0.0,4250.0,1310.0,22.6,19.2
2026-07-31 10:00:00+00:00,0.0,0.0,4250.0,1735.0,22.4,19.6
2026-07-31 11:00:00+00:00,0.0,0.0,4230.0,2060.0,22.2,19.7
2026-07-31 12:00:00+00:00,0.0,0.0,4290.0,2585.0,22.2,20.0
2026-07-31 13:00:00+00:00,0.0,0.0,4290.0,2705.0,22.0,19.8
2026-07-31 14:00:00+00:00,0.0,0.0,4130.0,2815.0,21.6,19.9
2026-07-31 15:00:00+00:00,0.0,0.0,4250.0,2855.0,21.4,19.6
2026-07-31 16:00:00+00:00,0.0,0.0,4320.0,2850.0,21.2,19.1
2026-07-31 17:00:00+00:00,0.0,0.0,4300.0,145.0,20.7,19.0
2026-07-31 18:00:00+00:00,0.0,0.0,4340.0,50.0,21.6,18.9
2026-07-31 19:00:00+00:00,0.0,0.0,4360.0,80.0,22.1,18.4
2026-07-31 20:00:00+00:00,0.0,0.0,4240.0,170.0,21.6,19.1
2026-07-31 21:00:00+00:00,0.0,0.0,4310.0,100.0,20.8,18.8
2026-07-31 22:00:00+00:00,0.0,0.0,4320.0,85.0,19.8,18.6
2026-07-31 23:00:00+00:00,0.0,0.0,4300.0,70.0,20.2,18.4
2026-08-01 00:00:00+00:00,0.0,0.0,4350.0,65.0,21.4,18.0
2026-08-01 01:00:00+00:00,0.0,0.0,4330.0,60.0,21.4,17.5
2026-08-01 02:00:00+00:00,0.0,0.0,4250.0,60.0,21.3,16.9
2026-08-01 03:00:00+00:00,0.0,0.0,4240.0,65.0,21.2,16.1
2026-08-01 04:00:00+00:00,0.0,0.0,4280.0,70.0,20.9,16.1
2026-08-01 05:00:00+00:00,0.0,0.0,4340.0,155.0,20.9,16.7
2026-08-01 06:00:00+00:00,0.0,0.0,4310.0,195.0,21.0,17.7
2026-08-01 07:00:00+00:00,0.0,0.0,4270.0,270.0,21.9,19.0
2026-08-01 08:00:00+00:00,0.0,0.0,4340.0,380.0,22.6,19.7
2026-08-01 09:00:00+00:00,0.0,0.0,4280.0,660.0,22.9,19.8
2026-08-01 10:00:00+00:00,0.0,0.0,4290.0,1925.0,23.4,19.4
2026-08-01 11:00:00+00:00,0.0,0.0,4100.0,2705.0,23.5,19.5
2026-08-01 12:00:00+00:00,0.0,0.0,4140.0,3050.0,22.5,19.4
2026-08-01 13:00:00+00:00,0.0,0.0,4080.0,3190.0,21.1,19.4
2026-08-01 14:00:00+00:00,0.0,0.0,4070.0,2885.0,19.6,19.4
2026-08-01 15:00:00+00:00,0.0,0.0,4260.0,2515.0,17.2,19.6
2026-08-01 16:00:00+00:00,0.0,0.0,4140.0,1450.0,18.7,19.1
2026-08-01 17:00:00+00:00,0.0,0.0,4170.0,20.0,22.3,19.0
2026-08-01 18:00:00+00:00,0.0,0.0,4310.0,30.0,23.2,18.0
2026-08-01 19:00:00+00:00,0.0,0.0,4370.0,30.0,23.2,18.5
2026-08-01 20:00:00+00:00,0.0,0.0,4160.0,20.0,22.5,18.9
2026-08-01 21:00:00+00:00,0.0,0.0,4260.0,55.0,22.4,18.4
