metric,value,scope
temperature_mean_c,28.670833333333334,current
dew_point_mean_c,10.794444444444444,current
precipitation_total_mm,0.0,current
wind_speed_mean_ms,3.8076388888888886,current
wind_gust_max_ms,7.2,current
pressure_mean_hpa,1017.1486111111111,current
pressure_range_hpa,10.0,current
cloud_cover_mean_pct,1.125,current
shortwave_total_wh_m2,22170.0,current
sunshine_total_s,158436.29,current
frost_hours,0.0,current
cooling_degree_days_c,32.0125,current
heating_degree_days_c,0.0,current
temperature_mean_c,23.833333333333336,baseline_mean
precipitation_total_mm,5.62,baseline_mean
wind_speed_mean_ms,3.662333333333334,baseline_mean
pressure_mean_hpa,1013.0733333333334,baseline_mean
cloud_cover_mean_pct,43.5,baseline_mean
shortwave_total_wh_m2,17811.9444458694,baseline_mean
et0_total_mm,14.324000000000002,baseline_mean
water_balance_mm,-8.703999999999999,baseline_mean
