time,temperature_2m,dew_point_2m,relative_humidity_2m,precipitation,cloud_cover,pressure_msl,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,sunshine_duration,rain,snowfall,vapour_pressure_deficit,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2026-08-19 22:00:00+00:00,21.3,14.5,65,0.0,5,1012.5,3.64,7.82,167,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.06,20.8,22.0,19.6,17.4,0.158,0.146,0.162,0.245
2026-08-19 23:00:00+00:00,21.2,14.2,64,0.0,1,1012.4,3.67,7.9,165,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.06,20.5,21.9,19.6,17.4,0.157,0.146,0.162,0.245
2026-08-20 00:00:00+00:00,20.6,14.0,66,0.0,0,1012.2,4.21,8.6,170,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.07,20.2,21.6,19.0,17.4,0.162,0.146,0.162,0.245
2026-08-20 01:00:00+00:00,20.6,13.9,65,0.0,0,1011.8,4.22,8.75,174,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.07,20.0,21.5,19.0,17.4,0.161,0.146,0.162,0.245
2026-08-20 02:00:00+00:00,20.5,13.8,65,0.0,1,1011.8,4.21,8.8,175,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.07,19.8,21.4,19.0,17.4,0.16,0.146,0.162,0.245
2026-08-20 03:00:00+00:00,20.5,13.6,65,0.0,13,1011.7,4.28,8.9,173,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.07,19.6,21.3,19.0,17.4,0.16,0.146,0.162,0.245
2026-08-20 04:00:00+00:00,20.6,13.3,63,0.0,0,1011.7,4.29,8.9,172,8.0,3.0,1.0,2.0,0.0,0.0,0.0,0.9,0.08,19.4,21.2,19.0,17.4,0.159,0.146,0.162,0.245
2026-08-20 05:00:00+00:00,22.1,13.3,57,0.0,5,1011.8,4.35,8.52,179,8.3,86.0,49.0,37.0,3600.0,0.0,0.0,1.14,0.12,19.8,21.1,19.0,17.4,0.158,0.146,0.162,0.245
2026-08-20 06:00:00+00:00,24.1,13.9,53,0.0,42,1012.1,3.92,9.88,186,8.7,241.0,174.0,67.0,3600.0,0.0,0.0,1.4,0.21,20.7,21.0,19.0,17.4,0.157,0.146,0.162,0.245
2026-08-20 07:00:00+00:00,26.2,13.7,46,0.0,56,1012.1,4.72,7.62,185,10.0,403.0,311.0,92.0,3600.0,0.0,0.0,1.84,0.34,22.1,21.0,19.0,17.4,0.155,0.146,0.162,0.245
