time,temperature_2m,dew_point_2m,relative_humidity_2m,precipitation,cloud_cover,pressure_msl,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,sunshine_duration,rain,snowfall,vapour_pressure_deficit,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2026-09-04 22:00:00+00:00,22.2,10.8,49,0.0,1,1014.4,4.26,8.42,202,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.11,22.3,21.6,17.2,17.8,0.092,0.145,0.159,0.241
2026-09-04 23:00:00+00:00,21.9,11.0,50,0.0,0,1014.0,4.52,8.82,203,8.2,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.11,21.9,21.6,17.2,17.8,0.092,0.145,0.159,0.241
2026-09-05 00:00:00+00:00,20.7,11.4,55,0.0,0,1013.8,4.46,8.79,193,8.3,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.09,21.2,21.1,16.6,17.8,0.092,0.145,0.159,0.241
2026-09-05 01:00:00+00:00,20.7,11.2,54,0.0,0,1013.5,5.08,9.67,195,9.4,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.1,20.8,21.0,16.7,17.8,0.092,0.145,0.159,0.241
2026-09-05 02:00:00+00:00,20.6,11.0,54,0.0,0,1013.5,5.06,9.6,200,9.7,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.1,20.5,20.9,16.7,17.8,0.092,0.145,0.159,0.241
2026-09-05 03:00:00+00:00,20.3,10.9,55,0.0,2,1013.6,4.8,9.12,202,9.5,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.1,20.3,20.8,16.7,17.8,0.092,0.145,0.159,0.241
2026-09-05 04:00:00+00:00,20.0,11.0,56,0.0,1,1013.7,4.83,9.08,201,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.09,20.0,20.8,16.7,17.8,0.092,0.145,0.159,0.241
2026-09-05 05:00:00+00:00,20.5,11.3,55,0.0,27,1014.0,4.75,8.66,204,9.0,45.0,23.0,22.0,3459.48,0.0,0.0,1.08,0.11,20.0,20.7,16.7,17.8,0.092,0.145,0.159,0.241
2026-09-05 06:00:00+00:00,21.9,11.7,53,0.0,30,1013.9,4.03,9.44,194,9.0,166.0,97.0,69.0,3600.0,0.0,0.0,1.24,0.17,20.7,20.6,16.7,17.8,0.092,0.145,0.159,0.241
2026-09-05 07:00:00+00:00,24.1,12.1,47,0.0,22,1014.0,3.94,6.07,209,9.1,315.0,211.0,104.0,3600.0,0.0,0.0,1.59,0.27,22.0,20.5,16.7,17.8,0.092,0.145,0.159,0.241
2026-09-05 08:00:00+00:00,26.6,12.4,41,0.0,28,1014.5,3.15,4.41,237,8.7,495.0,390.0,105.0,3600.0,0.0,0.0,2.04,0.38,24.0,20.6,16.8,17.8,0.092,0.145,0.159,0.241
2026-09-05 09:00:00+00:00,25.1,14.6,52,0.2,77,1015.9,2.94,4.11,339,12.4,581.0,432.0,149.0,3600.0,0.2,0.0,1.52,0.41,25.6,20.7,16.8,17.8,0.094,0.145,0.159,0.241
2026-09-05 10:00:00+00:00,22.7,17.6,73,2.0,95,1017.5,2.87,3.87,337,11.8,564.0,372.0,192.0,3600.0,2.0,0.0,0.74,0.35,26.0,20.8,16.8,17.8,0.117,0.145,0.159,0.241
2026-09-05 11:00:00+00:00,23.7,15.7,61,0.1,66,1016.9,2.08,2.68,35,7.1,395.0,150.0,245.0,3600.0,0.1,0.0,1.15,0.29,25.8,21.0,16.8,17.8,0.118,0.145,0.159,0.241
2026-09-05 12:00:00+00:00,26.6,11.3,39,0.0,98,1016.4,2.27,2.97,8,6.0,606.0,401.0,205.0,3600.0,0.0,0.0,2.13,0.45,30.3,21.4,16.8,17.8,0.092,0.145,0.159,0.241
2026-09-05 13:00:00+00:00,26.5,11.0,38,0.0,100,1016.0,1.03,1.3,293,5.5,423.0,181.0,242.0,3600.0,0.0,0.0,2.15,0.31,30.4,21.7,16.8,17.8,0.092,0.145,0.159,0.241
2026-09-05 14:00:00+00:00,24.5,13.2,49,0.7,52,1016.1,2.12,3.01,262,7.1,154.0,25.0,129.0,0.0,0.7,0.0,1.55,0.17,28.6,21.9,16.9,17.8,0.099,0.145,0.159,0.241
2026-09-05 15:00:00+00:00,25.3,11.5,42,0.0,88,1016.3,3.38,4.65,278,8.0,370.0,280.0,90.0,3600.0,0.0,0.0,1.87,0.3,28.2,22.1,16.9,17.8,0.099,0.145,0.159,0.24
2026-09-05 16:00:00+00:00,24.5,10.8,42,0.0,88,1016.5,3.3,4.78,280,8.0,173.0,77.0,96.0,3600.0,0.0,0.0,1.77,0.19,27.2,22.3,16.9,17.8,0.098,0.145,0.159,0.24
2026-09-05 17:00:00+00:00,23.0,10.8,46,0.0,61,1016.8,2.38,4.51,240,7.1,43.0,12.0,31.0,2130.59,0.0,0.0,1.51,0.09,25.8,22.3,17.0,17.8,0.098,0.145,0.159,0.24
2026-09-05 18:00:00+00:00,20.9,9.9,50,0.0,40,1017.4,3.13,6.15,253,7.1,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.1,24.4,22.4,17.0,17.8,0.098,0.145,0.159,0.24
2026-09-05 19:00:00+00:00,20.3,9.7,50,0.0,0,1017.9,4.05,7.6,270,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.09,23.1,22.3,17.0,17.8,0.097,0.145,0.159,0.24
2026-09-05 20:00:00+00:00,19.4,10.3,56,0.0,0,1018.4,3.86,7.61,274,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.08,22.0,22.3,17.0,17.8,0.097,0.145,0.159,0.24
2026-09-05 21:00:00+00:00,18.9,9.6,55,0.0,0,1018.9,3.85,7.64,286,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.08,21.0,22.2,17.1,17.8,0.097,0.145,0.159,0.24
