temperature_mean_c,precipitation_total_mm,wind_speed_mean_ms,pressure_mean_hpa,cloud_cover_mean_pct,shortwave_total_wh_m2,et0_total_mm,water_balance_mm,baseline_year
15.1,0.0,6.27,1019.9,22.0,4638.88888926,3.45,-3.45,1990
12.0,0.0,3.38,1023.5,1.0,5350.000000428001,3.23,-3.23,1991
15.4,0.4,3.47,1021.9,48.0,2663.888889102,1.95,-1.5499999999999998,1992
21.4,2.3,6.33,1012.2,69.0,3488.8888891680003,3.15,-0.8500000000000001,1993
24.6,0.6,5.65,1010.6,46.0,4922.222222616,5.06,-4.46,1994
17.3,24.0,4.5,1006.8,99.0,1183.333333428,0.96,23.04,1995
12.9,1.0,4.53,1012.6,90.0,1461.111111228,1.3,-0.30000000000000004,1996
19.0,0.0,8.56,1012.5,21.0,4575.000000366,4.37,-4.37,1997
17.4,0.0,2.84,1017.7,65.0,4636.1111114820005,2.98,-2.98,1998
20.4,0.9,7.81,1016.6,46.0,4525.000000362,3.77,-2.87,1999
14.9,0.0,2.36,1026.7,54.0,5325.000000426001,3.31,-3.31,2000
12.0,22.1,7.02,1005.5,90.0,813.8888889540001,0.65,21.450000000000003,2001
21.2,0.2,3.28,1015.3,28.0,4911.111111504,3.76,-3.5599999999999996,2002
20.4,0.0,5.26,1007.8,76.0,4294.4444447880005,4.5,-4.5,2003
13.4,0.0,8.54,1026.2,29.0,4797.222222606,4.04,-4.04,2004
19.9,0.0,3.33,1018.8,0.0,5341.666667094,3.9,-3.9,2005
15.6,0.0,4.78,1025.8,19.0,5030.555555958001,3.52,-3.52,2006
15.8,2.1,6.08,1009.1,57.0,3525.000000282,2.62,-0.52,2007
19.2,0.0,4.48,1019.6,8.0,5277.7777782,3.86,-3.86,2008
20.7,0.0,6.15,1022.5,41.0,5063.888889294,4.64,-4.64,2009
18.9,5.4,4.87,1014.3,89.0,3258.3333335940006,2.06,3.3400000000000003,2010
18.1,0.1,5.93,1011.4,52.0,4472.222222580001,3.88,-3.78,2011
20.7,0.0,3.75,1018.9,13.0,5063.888889294,4.23,-4.23,2012
16.2,4.3,3.66,1018.5,77.0,3516.6666669480005,2.64,1.6599999999999997,2013
20.9,0.1,2.95,1014.6,16.0,4775.0000003820005,3.56,-3.46,2014
14.9,0.0,2.8,1020.2,56.0,3816.6666669720003,2.72,-2.72,2015
21.9,0.0,3.68,1015.5,39.0,5169.444444858001,4.07,-4.07,2016
18.8,1.3,4.54,1009.1,67.0,4222.22222256,3.31,-2.01,2017
19.8,0.0,5.55,1019.6,40.0,3938.8888892040004,3.58,-3.58,2018
20.1,6.3,5.93,1013.5,80.0,3577.7777780640004,3.31,2.9899999999999998,2019
18.0,0.0,2.58,1024.6,0.0,5369.444444874,3.65,-3.65,2020
17.4,0.0,2.62,1020.8,5.0,5483.333333772,3.61,-3.61,2021
20.9,13.2,2.96,1013.3,79.0,3255.5555558160004,2.18,11.02,2022
21.5,0.0,3.17,1019.9,7.0,5347.222222650001,4.14,-4.14,2023
21.9,0.2,4.19,1008.2,70.0,3838.8888891960005,3.9,-3.6999999999999997,2024
18.3,3.0,3.01,1014.3,55.0,4150.000000332,2.6,0.3999999999999999,2025
