temperature_mean_c,precipitation_total_mm,wind_speed_mean_ms,pressure_mean_hpa,cloud_cover_mean_pct,shortwave_total_wh_m2,et0_total_mm,water_balance_mm,baseline_year
18.0,0.0,5.64,1015.7,59.0,3566.6666669520005,2.94,-2.94,1991
18.4,0.0,4.11,1020.0,16.0,4483.333333692,3.41,-3.41,1992
16.6,4.8,3.08,1005.3,78.0,1836.1111112580002,1.26,3.54,1993
21.6,0.0,3.06,1016.7,19.0,5025.000000402,4.15,-4.15,1994
18.7,0.0,2.44,1018.3,12.0,4761.111111492,3.23,-3.23,1995
14.5,0.8,4.43,1008.3,70.0,3347.2222224900006,2.3,-1.4999999999999998,1996
16.2,0.0,5.01,1018.0,22.0,5050.000000404,3.66,-3.66,1997
21.0,0.0,5.99,1001.8,85.0,4855.555555944001,4.16,-4.16,1998
19.7,0.0,5.63,1017.3,9.0,4941.666667062,3.97,-3.97,1999
19.6,0.0,4.76,1013.8,11.0,4597.2222225900005,3.7,-3.7,2000
12.9,5.3,6.22,1012.5,79.0,3597.22222251,2.26,3.04,2001
14.0,0.0,8.78,1017.4,53.0,3625.0000002900006,3.8,-3.8,2002
14.3,19.6,5.52,1012.8,100.0,675.0000000540001,0.67,18.93,2003
15.7,0.0,4.56,1020.0,57.0,5163.888889302,3.79,-3.79,2004
21.4,0.2,3.64,1012.4,44.0,4319.4444447900005,3.22,-3.02,2005
16.7,0.0,2.99,1025.2,0.0,5161.111111524,3.43,-3.43,2006
12.2,19.0,9.0,1014.3,99.0,661.111111164,0.93,18.07,2007
19.6,0.8,4.38,1009.1,70.0,4250.000000340001,3.31,-2.51,2008
22.0,0.0,5.17,1015.5,95.0,4558.333333698,4.54,-4.54,2009
17.5,0.1,4.13,1018.4,65.0,4500.00000036,2.69,-2.59,2010
24.0,0.0,5.13,1012.0,50.0,4880.555555946001,4.5,-4.5,2011
21.6,0.0,4.59,1010.8,10.0,5030.555555958001,4.48,-4.48,2012
15.4,0.7,2.75,1013.5,87.0,2897.222222454,1.74,-1.04,2013
19.6,1.4,5.43,1013.6,83.0,2619.444444654,2.43,-1.0300000000000002,2014
17.0,0.5,1.52,1022.2,65.0,3425.0000002740003,2.13,-1.63,2015
22.9,0.3,1.57,1018.4,20.0,4633.333333704,3.39,-3.0900000000000003,2016
19.1,2.2,6.85,1004.3,88.0,2480.555555754,2.21,-0.009999999999999787,2017
21.2,0.0,2.04,1022.3,15.0,5036.111111514,3.51,-3.51,2018
21.5,0.0,4.35,1025.4,52.0,4297.222222566001,3.82,-3.82,2019
22.1,0.0,2.8,1019.4,13.0,4886.111111502,3.54,-3.54,2020
