time,generation_cross_border_electricity_trading_mw,generation_nuclear_mw,generation_hydro_run_of_river_mw,generation_biomass_mw,generation_fossil_brown_coal_lignite_mw,generation_fossil_hard_coal_mw,generation_fossil_oil_mw,generation_fossil_gas_mw,generation_geothermal_mw,generation_hydro_water_reservoir_mw,generation_others_mw,generation_other_renewables_mw,generation_waste_mw,wind_onshore_generation_mw,solar_generation_mw,load_mw,residual_load_mw,renewable_share_of_load_pct,renewable_share_of_generation_pct,day_ahead_price_eur_mwh,flow_austria_gw,flow_croatia_gw,flow_romania_gw,flow_serbia_gw,flow_slovakia_gw,flow_slovenia_gw,flow_ukraine_gw,flow_sum_gw,net_import_mw
2026-07-26 22:00:00+00:00,1879.1,1853.1,5.3,119.7,116.8,0.0,0.0,125.4,0.2,4.6,21.9,15.5,5.5,24.8,3.0,4187.8,4160.0,4.2,7.7,131.17,0.284,-0.789,-0.094,-0.17,2.371,-0.355,0.607,1.853,3707.0
2026-07-26 22:15:00+00:00,1740.2,1852.3,5.2,130.3,116.5,0.0,0.0,119.2,0.2,4.6,20.7,16.6,5.1,24.7,1.1,4099.3,4073.5,4.5,8.1,111.54,0.328,-0.814,-0.117,-0.17,2.301,-0.338,0.607,1.796,3593.0
2026-07-26 22:30:00+00:00,1674.1,1852.5,5.2,132.2,117.2,0.0,0.0,115.0,0.2,4.6,20.6,16.5,5.2,30.3,1.5,4014.4,3982.5,4.8,8.4,112.37,0.297,-0.816,-0.136,-0.17,2.252,-0.327,0.607,1.706,3413.0
2026-07-26 22:45:00+00:00,1635.1,1854.0,5.2,132.2,116.4,0.0,0.0,107.5,0.2,4.6,21.0,15.5,5.8,30.4,1.5,3939.4,3907.5,4.9,8.4,103.63,0.276,-0.836,-0.113,-0.17,2.203,-0.356,0.607,1.61,3221.0
2026-07-26 23:00:00+00:00,1472.0,1853.9,5.2,132.1,116.8,0.0,0.0,113.4,0.2,4.6,30.0,16.0,6.1,28.8,0.3,3839.5,3810.4,5.0,8.2,116.99,0.223,-0.869,-0.112,-0.202,2.23,-0.395,0.576,1.449,2900.0000000000005
2026-07-26 23:15:00+00:00,1448.1,1853.5,5.2,131.5,116.9,0.0,0.0,111.2,0.2,4.6,28.3,16.3,5.7,26.0,0.9,3760.7,3733.9,5.0,8.2,101.36,0.255,-0.871,-0.121,-0.202,2.145,-0.386,0.576,1.396,2792.0
2026-07-26 23:30:00+00:00,1506.7,1854.1,5.2,131.5,107.7,0.0,0.0,103.0,0.2,4.6,21.6,15.3,6.1,27.8,0.3,3786.4,3758.3,5.0,8.3,84.62,0.405,-0.932,-0.246,-0.202,2.255,-0.352,0.576,1.503,3006.9999999999995
2026-07-26 23:45:00+00:00,1460.0,1854.1,5.2,132.2,101.3,0.0,0.0,109.8,0.2,4.6,27.9,15.6,6.1,25.7,0.2,3739.3,3713.4,5.0,8.2,69.23,0.355,-0.957,-0.169,-0.202,2.291,-0.382,0.576,1.512,3024.0
2026-07-27 00:00:00+00:00,1381.6,1853.4,5.2,132.4,92.3,0.0,0.0,112.1,0.2,4.6,23.3,16.3,5.7,26.1,0.7,3680.6,3653.8,5.1,8.3,95.32,0.29,-0.876,-0.125,-0.185,2.131,-0.386,0.532,1.38,2760.9999999999995
2026-07-27 00:15:00+00:00,1391.3,1853.5,5.2,132.3,91.2,0.0,0.0,111.6,0.2,4.6,20.6,16.4,6.5,29.8,0.2,3658.5,3628.5,5.2,8.4,72.2,0.29,-0.871,-0.129,-0.185,2.116,-0.371,0.532,1.382,2764.0000000000005
2026-07-27 00:30:00+00:00,1374.4,1853.2,5.2,132.2,91.9,0.0,0.0,113.5,0.2,4.6,21.4,16.1,5.5,28.1,0.2,3628.6,3600.2,5.2,8.3,83.65,0.231,-0.878,-0.12,-0.185,2.133,-0.381,0.532,1.332,2664.0
2026-07-27 00:45:00+00:00,1286.8,1852.9,5.2,132.2,91.5,0.0,0.0,118.8,0.2,4.6,26.7,16.4,6.2,26.6,0.5,3618.6,3591.5,5.2,8.3,72.88,0.211,-0.878,-0.159,-0.185,2.173,-0.378,0.532,1.316,2631.9999999999995
2026-07-27 01:00:00+00:00,1310.1,1852.9,5.2,132.3,92.1,0.0,0.0,118.4,0.2,4.6,26.9,16.1,5.9,27.4,0.5,3629.3,3601.4,5.2,8.3,85.0,0.219,-0.953,-0.179,-0.255,2.295,-0.4,0.51,1.237,2473.9999999999995
2026-07-27 01:15:00+00:00,1369.2,1852.0,5.1,132.3,91.7,0.0,0.0,114.7,0.2,4.6,21.7,14.6,5.9,28.7,0.2,3635.0,3606.1,5.2,8.3,72.98,0.264,-1.025,-0.219,-0.255,2.448,-0.397,0.51,1.326,2652.0
2026-07-27 01:30:00+00:00,1304.2,1851.6,5.2,132.4,91.6,0.0,0.0,109.8,0.2,4.6,21.0,15.5,6.1,32.0,0.1,3653.4,3621.2,5.3,8.5,75.99,0.342,-1.046,-0.249,-0.255,2.467,-0.382,0.51,1.388,2775.0
