time,temperature_2m,dew_point_2m,relative_humidity_2m,precipitation,cloud_cover,pressure_msl,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,sunshine_duration
2026-07-27 22:00:00+00:00,19.8,14.2,70,0.1,23,1015.8,2.05,4.18,13,4.0,0.0,0.0,0.0,0.0
2026-07-27 23:00:00+00:00,19.3,14.5,74,0.0,30,1016.4,2.05,4.13,357,3.4,0.0,0.0,0.0,0.0
2026-07-28 00:00:00+00:00,18.2,14.9,81,0.1,95,1017.1,1.34,3.82,27,4.0,0.0,0.0,0.0,0.0
2026-07-28 01:00:00+00:00,18.3,14.9,81,0.0,100,1017.6,1.38,3.39,347,2.3,0.0,0.0,0.0,0.0
2026-07-28 02:00:00+00:00,18.7,15.0,79,0.0,88,1018.2,1.6,3.45,340,2.8,0.0,0.0,0.0,0.0
2026-07-28 03:00:00+00:00,18.5,15.3,82,0.0,34,1018.7,1.67,3.18,321,2.9,0.0,0.0,0.0,0.0
2026-07-28 04:00:00+00:00,17.9,15.7,87,0.0,4,1019.1,1.8,2.51,273,3.0,24.0,10.0,14.0,2331.68
2026-07-28 05:00:00+00:00,19.8,16.2,80,0.0,16,1020.0,1.35,2.6,301,3.2,144.0,91.0,53.0,3600.0
2026-07-28 06:00:00+00:00,21.5,13.7,61,0.0,21,1020.7,1.1,1.51,317,4.1,299.0,215.0,84.0,3600.0
2026-07-28 07:00:00+00:00,22.9,11.7,49,0.0,2,1020.9,0.87,1.07,294,5.0,440.0,315.0,125.0,3600.0
2026-07-28 08:00:00+00:00,23.9,11.7,46,0.1,10,1021.0,1.4,1.85,266,6.5,614.0,501.0,113.0,3600.0
2026-07-28 09:00:00+00:00,25.0,11.4,43,0.1,16,1021.2,2.13,2.82,261,7.0,702.0,578.0,124.0,3600.0
2026-07-28 10:00:00+00:00,26.0,10.1,37,0.0,16,1021.1,2.91,3.86,258,7.6,769.0,631.0,138.0,3600.0
2026-07-28 11:00:00+00:00,26.8,9.5,34,0.0,30,1021.0,3.86,5.25,260,9.4,762.0,615.0,147.0,3600.0
2026-07-28 12:00:00+00:00,27.8,9.0,31,0.0,100,1020.6,4.01,5.5,266,9.6,668.0,481.0,187.0,3600.0
2026-07-28 13:00:00+00:00,27.7,8.8,31,0.0,90,1020.3,3.53,4.89,258,8.9,412.0,87.0,325.0,1447.02
2026-07-28 14:00:00+00:00,28.3,7.9,28,0.0,86,1019.9,3.4,4.8,269,8.1,340.0,90.0,250.0,2011.31
2026-07-28 15:00:00+00:00,28.4,8.2,28,0.0,17,1019.8,3.71,5.19,280,8.1,371.0,220.0,151.0,3600.0
2026-07-28 16:00:00+00:00,28.3,7.8,27,0.0,58,1019.8,3.87,5.6,265,8.4,311.0,201.0,110.0,3600.0
2026-07-28 17:00:00+00:00,27.1,9.0,32,0.0,73,1019.7,3.33,5.72,242,8.2,167.0,89.0,78.0,3600.0
2026-07-28 18:00:00+00:00,24.4,10.4,41,0.0,14,1019.7,1.5,3.96,233,7.0,41.0,12.0,29.0,1774.49
2026-07-28 19:00:00+00:00,23.6,10.2,43,0.0,2,1020.3,0.25,1.43,349,2.7,0.0,0.0,0.0,0.0
2026-07-28 20:00:00+00:00,22.4,10.5,47,0.0,0,1021.1,4.19,7.91,61,7.2,0.0,0.0,0.0,0.0
2026-07-28 21:00:00+00:00,21.4,11.2,52,0.0,0,1021.8,3.11,6.06,57,7.8,0.0,0.0,0.0,0.0
2026-07-28 22:00:00+00:00,20.4,11.8,58,0.0,0,1022.5,3.09,6.27,51,5.7,0.0,0.0,0.0,0.0
2026-07-28 23:00:00+00:00,19.8,12.1,61,0.0,0,1022.7,3.3,6.53,58,6.0,0.0,0.0,0.0,0.0
2026-07-29 00:00:00+00:00,18.0,11.8,67,0.0,0,1022.6,3.01,6.18,48,6.0,0.0,0.0,0.0,0.0
2026-07-29 01:00:00+00:00,17.5,11.7,69,0.0,0,1022.6,2.65,5.56,46,5.3,0.0,0.0,0.0,0.0
2026-07-29 02:00:00+00:00,16.7,11.6,72,0.0,0,1023.0,2.62,5.43,59,4.6,0.0,0.0,0.0,0.0
2026-07-29 03:00:00+00:00,16.2,11.3,73,0.0,0,1023.1,2.53,5.31,63,4.7,0.0,0.0,0.0,0.0
2026-07-29 04:00:00+00:00,16.4,11.4,73,0.0,0,1023.4,2.65,5.0,47,4.7,25.0,11.0,14.0,2735.45
2026-07-29 05:00:00+00:00,18.2,11.9,67,0.0,0,1023.6,2.34,5.39,34,4.9,146.0,94.0,52.0,3600.0
2026-07-29 06:00:00+00:00,21.4,12.3,56,0.0,0,1023.7,1.95,5.75,50,4.8,310.0,235.0,75.0,3600.0
2026-07-29 07:00:00+00:00,24.9,10.1,39,0.0,0,1023.7,2.63,3.81,69,6.5,478.0,388.0,90.0,3600.0
2026-07-29 08:00:00+00:00,26.5,8.5,32,0.0,0,1023.8,2.36,3.08,73,7.1,631.0,531.0,100.0,3600.0
2026-07-29 09:00:00+00:00,27.6,8.5,30,0.0,13,1023.8,1.32,1.72,65,6.5,752.0,646.0,106.0,3600.0
2026-07-29 10:00:00+00:00,28.6,8.5,28,0.0,0,1023.8,0.88,1.17,43,5.2,832.0,720.0,112.0,3600.0
2026-07-29 11:00:00+00:00,29.3,8.7,28,0.0,0,1023.4,0.8,1.05,356,4.7,865.0,752.0,113.0,3600.0
2026-07-29 12:00:00+00:00,30.6,9.1,26,0.0,0,1022.8,1.92,2.43,345,5.1,848.0,736.0,112.0,3600.0
2026-07-29 13:00:00+00:00,30.5,9.2,27,0.0,15,1022.4,2.0,2.61,357,6.4,781.0,674.0,107.0,3600.0
2026-07-29 14:00:00+00:00,30.5,9.3,27,0.0,27,1022.1,1.97,2.53,24,6.4,671.0,567.0,104.0,3600.0
2026-07-29 15:00:00+00:00,30.4,9.4,27,0.0,9,1021.7,2.09,2.68,42,6.1,524.0,424.0,100.0,3600.0
2026-07-29 16:00:00+00:00,30.0,9.5,28,0.0,0,1021.6,2.16,2.87,46,5.9,363.0,283.0,80.0,3600.0
2026-07-29 17:00:00+00:00,29.1,9.6,30,0.0,2,1021.3,2.41,3.34,50,5.6,197.0,137.0,60.0,3600.0
2026-07-29 18:00:00+00:00,27.5,9.6,32,0.0,0,1021.2,1.71,3.27,75,5.0,55.0,29.0,26.0,3600.0
2026-07-29 19:00:00+00:00,26.3,9.4,34,0.0,0,1021.5,3.88,7.01,112,6.6,0.0,0.0,0.0,0.0
2026-07-29 20:00:00+00:00,24.5,9.7,39,0.0,0,1021.8,3.97,7.46,111,8.6,0.0,0.0,0.0,0.0
2026-07-29 21:00:00+00:00,23.3,9.8,42,0.0,0,1022.0,3.32,6.52,108,7.3,0.0,0.0,0.0,0.0
2026-07-29 22:00:00+00:00,22.5,9.8,44,0.0,0,1022.1,2.97,6.09,110,6.0,0.0,0.0,0.0,0.0
2026-07-29 23:00:00+00:00,21.8,9.7,46,0.0,0,1021.8,3.0,5.81,101,5.3,0.0,0.0,0.0,0.0
2026-07-30 00:00:00+00:00,20.4,10.1,52,0.0,0,1021.8,3.5,6.84,107,5.2,0.0,0.0,0.0,0.0
2026-07-30 01:00:00+00:00,20.0,10.0,52,0.0,0,1021.5,3.19,6.47,99,6.2,0.0,0.0,0.0,0.0
2026-07-30 02:00:00+00:00,19.6,9.8,53,0.0,0,1021.4,3.2,6.17,92,5.7,0.0,0.0,0.0,0.0
2026-07-30 03:00:00+00:00,19.2,9.8,54,0.0,0,1021.4,2.71,5.57,78,5.6,0.0,0.0,0.0,0.0
2026-07-30 04:00:00+00:00,19.2,10.1,56,0.0,0,1021.6,2.6,4.67,52,4.7,24.0,10.0,14.0,2384.91
2026-07-30 05:00:00+00:00,21.0,11.1,53,0.0,0,1021.6,2.37,5.0,44,4.9,143.0,92.0,51.0,3600.0
2026-07-30 06:00:00+00:00,23.5,11.6,47,0.0,0,1021.8,1.48,4.29,66,4.8,305.0,232.0,73.0,3600.0
2026-07-30 07:00:00+00:00,26.7,11.4,38,0.0,0,1021.9,1.4,2.05,86,4.7,473.0,384.0,89.0,3600.0
2026-07-30 08:00:00+00:00,29.2,10.2,31,0.0,0,1021.8,1.43,1.94,102,5.2,625.0,526.0,99.0,3600.0
2026-07-30 09:00:00+00:00,30.7,10.2,28,0.0,0,1021.6,1.13,1.47,103,5.3,746.0,641.0,105.0,3600.0
2026-07-30 10:00:00+00:00,31.7,10.5,27,0.0,0,1021.3,0.74,0.97,70,5.0,827.0,718.0,109.0,3600.0
2026-07-30 11:00:00+00:00,32.6,10.7,26,0.0,0,1020.8,1.03,1.39,23,5.1,861.0,750.0,111.0,3600.0
2026-07-30 12:00:00+00:00,33.9,10.9,25,0.0,0,1020.0,2.11,2.71,22,5.8,844.0,734.0,110.0,3600.0
2026-07-30 13:00:00+00:00,33.9,10.9,25,0.0,0,1019.2,1.97,2.55,24,6.7,778.0,672.0,106.0,3600.0
2026-07-30 14:00:00+00:00,34.1,10.7,24,0.0,1,1018.7,1.8,2.28,19,6.3,669.0,570.0,99.0,3600.0
2026-07-30 15:00:00+00:00,34.1,10.5,24,0.0,1,1018.3,1.74,2.27,27,5.8,526.0,436.0,90.0,3600.0
2026-07-30 16:00:00+00:00,33.5,10.2,24,0.0,1,1018.1,2.02,2.64,50,5.3,362.0,284.0,78.0,3600.0
2026-07-30 17:00:00+00:00,32.2,10.0,26,0.0,2,1017.9,2.61,3.92,70,5.4,194.0,135.0,59.0,3600.0
2026-07-30 18:00:00+00:00,29.8,9.9,29,0.0,5,1018.1,3.29,6.1,81,5.1,54.0,29.0,25.0,3600.0
2026-07-30 19:00:00+00:00,28.3,9.7,31,0.0,2,1018.4,3.76,7.18,86,6.9,0.0,0.0,0.0,0.0
2026-07-30 20:00:00+00:00,26.7,10.1,35,0.0,1,1018.7,3.25,6.42,93,6.8,0.0,0.0,0.0,0.0
2026-07-30 21:00:00+00:00,25.5,11.0,40,0.0,0,1018.9,3.11,6.21,94,5.8,0.0,0.0,0.0,0.0
