time,temperature_2m,dew_point_2m,relative_humidity_2m,precipitation,cloud_cover,pressure_msl,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,sunshine_duration
2026-07-23 22:00:00+00:00,15.9,11.2,74,0.0,11,1012.5,2.09,4.39,46,5.2,0.0,0.0,0.0,0.0
2026-07-23 23:00:00+00:00,15.0,11.2,78,0.0,6,1012.5,1.55,3.82,57,3.5,0.0,0.0,0.0,0.0
2026-07-24 00:00:00+00:00,13.1,11.2,89,0.0,13,1012.6,1.52,3.47,67,2.6,0.0,0.0,0.0,0.0
2026-07-24 01:00:00+00:00,12.9,11.1,89,0.0,4,1012.6,1.7,3.96,45,2.6,0.0,0.0,0.0,0.0
2026-07-24 02:00:00+00:00,13.2,10.6,84,0.0,20,1012.8,2.55,5.2,45,4.1,0.0,0.0,0.0,0.0
2026-07-24 03:00:00+00:00,13.3,10.3,82,0.0,13,1012.8,2.67,5.69,52,4.8,0.0,0.0,0.0,0.0
2026-07-24 04:00:00+00:00,13.7,10.4,80,0.0,8,1013.1,2.16,4.65,34,4.7,31.0,13.0,18.0,3184.15
2026-07-24 05:00:00+00:00,15.2,10.8,75,0.0,12,1013.3,1.58,2.51,349,3.8,152.0,91.0,61.0,3600.0
2026-07-24 06:00:00+00:00,16.4,11.1,71,0.0,47,1013.6,1.57,2.03,333,5.3,311.0,220.0,91.0,3600.0
2026-07-24 07:00:00+00:00,18.0,11.1,64,0.0,99,1013.9,1.94,2.62,342,5.5,435.0,269.0,166.0,3600.0
2026-07-24 08:00:00+00:00,19.1,10.7,58,0.0,32,1013.9,2.51,3.38,329,8.1,439.0,185.0,254.0,3600.0
2026-07-24 09:00:00+00:00,20.6,10.0,51,0.0,8,1013.7,3.22,4.38,330,8.9,605.0,380.0,225.0,3600.0
2026-07-24 10:00:00+00:00,21.9,9.8,46,0.0,48,1013.4,3.31,4.43,340,8.9,814.0,682.0,132.0,3600.0
