time,latitude,longitude,height_km,event_type,peak_current_ka,location_error,distance_km
2026-08-02 11:33:23.212939200+00:00,48.0829,20.443,0.0,1,-4.7,0.078,107.61060959640652
2026-08-02 11:33:23.214052700+00:00,48.0813,20.4526,0.0,1,-19.0,0.07,106.92148561126034
2026-08-02 11:33:23.227136800+00:00,48.08,20.4535,0.0,1,-6.1,0.067,106.78463975899568
2026-08-02 11:33:23.239597800+00:00,48.0802,20.4559,0.0,1,-6.4,0.077,106.65013383347288
2026-08-02 11:37:21.686015+00:00,48.0847,20.4554,0.0,1,30.7,0.082,106.96455203573676
2026-08-02 11:37:21.698555300+00:00,48.0831,20.4585,9.6,2,-14.5,0.092,106.67396067324457
2026-08-02 11:42:13.488166500+00:00,48.0929,20.4399,0.0,1,10.5,0.097,108.43010298988479
2026-08-02 11:42:13.493678600+00:00,48.0961,20.4408,0.0,1,-6.2,0.086,108.57822305945528
2026-08-02 11:45:45.256663100+00:00,48.1031,20.4386,0.0,1,7.1,0.057,109.15867517751036
2026-08-02 11:48:17.078340900+00:00,48.0872,20.3848,0.0,1,-4.1,0.068,111.47132032827085
2026-08-02 11:48:17.375282600+00:00,48.0949,20.3783,0.0,1,3.5,0.101,112.34496146756277
2026-08-02 11:51:46.534478600+00:00,48.0733,20.3744,0.0,1,-8.6,0.052,111.28498509885885
2026-08-02 11:51:46.534694400+00:00,48.0736,20.3739,0.0,1,-16.6,0.07,111.33421169181842
2026-08-02 11:51:46.535111200+00:00,48.0711,20.3777,0.0,1,-9.6,0.092,110.94703756326301
2026-08-02 11:51:46.535775800+00:00,48.0674,20.3887,0.0,1,-3.2,0.087,110.03631470333345
2026-08-02 11:51:46.554292200+00:00,48.0785,20.374,0.0,1,-3.3,0.32,111.6201039563107
2026-08-02 11:51:46.557262700+00:00,48.0656,20.3669,0.0,1,-4.4,0.062,111.30319073088384
2026-08-02 11:51:46.714075600+00:00,48.0749,20.3738,0.0,1,-4.0,0.085,111.41781226771853
2026-08-02 11:53:09.819845400+00:00,48.0695,20.3716,0.0,1,3.0,0.087,111.23601485659363
2026-08-02 11:53:09.822011500+00:00,48.0729,20.3732,4.7,2,3.5,0.05,111.3366081151149
2026-08-02 11:53:09.822741100+00:00,48.0719,20.3699,7.3,2,4.9,0.028,111.48483234525042
2026-08-02 11:53:29.386396800+00:00,48.0614,20.3664,0.0,1,-10.1,0.085,111.0896557199602
2026-08-02 11:53:29.387102+00:00,48.0646,20.3696,0.0,1,-5.9,0.052,111.07407135442395
2026-08-02 11:55:04.137242500+00:00,48.065,20.3699,0.0,1,36.9,0.075,111.0785563234909
2026-08-02 11:55:04.137622+00:00,48.0652,20.3702,0.0,1,-20.8,0.078,111.07133598446924
2026-08-02 11:55:04.138038700+00:00,48.0686,20.3678,0.0,1,-9.3,0.07,111.42244071133307
2026-08-02 11:55:04.151743500+00:00,48.0731,20.3759,0.0,1,-4.6,0.079,111.17890979076326
2026-08-02 11:55:04.152323400+00:00,48.0639,20.3682,0.0,1,-4.1,0.098,111.12158342198437
2026-08-02 11:55:04.160133700+00:00,48.0644,20.3665,0.0,1,-3.0,0.093,111.25827703514705
2026-08-02 11:55:04.167174200+00:00,48.0615,20.3695,0.0,1,-4.8,0.09,110.89924481557007
2026-08-02 11:55:04.175641800+00:00,48.0872,20.3944,0.0,1,-6.3,0.063,110.8753265233837
2026-08-02 11:55:25.527847+00:00,48.086,20.4353,0.0,1,3.9,0.039,108.27738171080284
2026-08-02 11:57:03.180040400+00:00,48.0868,20.4367,0.0,1,-4.2,0.064,108.24159509801981
2026-08-02 11:57:03.187729800+00:00,48.0872,20.4346,0.0,1,-2.9,0.086,108.39550273281957
2026-08-02 11:57:03.259939500+00:00,48.0744,20.3955,0.0,1,-5.3,0.07,110.02946300299347
2026-08-02 11:57:03.269271700+00:00,48.0779,20.3841,0.0,1,-6.0,0.087,110.95227211761663
2026-08-02 11:57:03.269973400+00:00,48.0766,20.3769,0.0,1,-3.4,0.066,111.32484864586742
2026-08-02 11:57:03.282483900+00:00,48.106,20.3942,0.0,1,-6.7,0.068,112.05206340917593
2026-08-02 11:57:57.323600200+00:00,48.0712,20.2141,0.0,1,-3.1,0.053,121.4107867990163
2026-08-02 11:57:57.344432300+00:00,48.0724,20.216,0.0,1,-4.8,0.095,121.35244465050984
2026-08-02 11:57:57.346034600+00:00,48.0725,20.2109,0.0,1,-7.4,0.075,121.68883561014735
2026-08-02 11:58:37.702862700+00:00,48.0797,20.3833,0.0,1,-8.5,0.07,111.1105755632915
2026-08-02 11:58:37.704735200+00:00,48.0837,20.39,0.0,1,-3.7,0.057,110.93507551137183
2026-08-02 11:58:37.711380500+00:00,48.0777,20.3804,0.0,1,-4.5,0.078,111.17160533812655
2026-08-02 11:58:37.757102900+00:00,48.098,20.3982,0.0,1,-12.4,0.077,111.30691348710731
2026-08-02 11:59:05.713748200+00:00,48.0724,20.2081,0.0,1,-4.5,0.121,121.86527018730756
2026-08-02 11:59:19.886369800+00:00,48.0903,20.4383,0.0,1,6.9,0.077,108.36364885805003
2026-08-02 11:59:19.975465100+00:00,48.1056,20.3966,0.0,1,-11.2,0.057,111.87979578806014
2026-08-02 12:00:51.638287700+00:00,48.0741,20.2108,0.0,1,-7.1,0.108,121.78193071007726
2026-08-02 12:01:28.992920800+00:00,48.0838,20.3868,3.4,2,3.7,0.036,111.14026257330268
