time,temperature_2m,dew_point_2m,relative_humidity_2m,precipitation,cloud_cover,pressure_msl,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,sunshine_duration,rain,snowfall,vapour_pressure_deficit,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2026-07-28 22:00:00+00:00,20.4,11.8,58,0.0,0,1022.5,3.09,6.27,51,5.7,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.06,22.6,23.7,20.2,15.7,0.091,0.148,0.172,0.256
2026-07-28 23:00:00+00:00,19.8,12.1,61,0.0,0,1022.7,3.3,6.53,58,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.06,21.9,23.6,20.2,15.7,0.092,0.148,0.172,0.256
2026-07-29 00:00:00+00:00,18.0,11.8,67,0.0,0,1022.6,3.01,6.18,48,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.04,20.4,22.9,19.8,15.7,0.099,0.148,0.172,0.256
2026-07-29 01:00:00+00:00,17.5,11.7,69,0.0,0,1022.6,2.65,5.56,46,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.03,19.7,22.8,19.8,15.7,0.099,0.148,0.172,0.256
2026-07-29 02:00:00+00:00,16.7,11.6,72,0.0,0,1023.0,2.62,5.43,59,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.02,19.1,22.6,19.8,15.7,0.099,0.148,0.172,0.256
2026-07-29 03:00:00+00:00,16.2,11.3,73,0.0,0,1023.1,2.53,5.31,63,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.02,18.6,22.4,19.8,15.7,0.099,0.148,0.172,0.256
2026-07-29 04:00:00+00:00,16.4,11.4,73,0.0,0,1023.4,2.65,5.0,47,4.7,25.0,11.0,14.0,2735.45,0.0,0.0,0.51,0.03,18.2,22.2,19.8,15.7,0.099,0.148,0.172,0.256
2026-07-29 05:00:00+00:00,18.2,11.9,67,0.0,0,1023.6,2.34,5.39,34,4.9,146.0,94.0,52.0,3600.0,0.0,0.0,0.7,0.09,18.7,22.0,19.8,15.7,0.099,0.148,0.172,0.256
2026-07-29 06:00:00+00:00,21.4,12.3,56,0.0,0,1023.7,1.95,5.75,50,4.8,310.0,235.0,75.0,3600.0,0.0,0.0,1.12,0.2,20.3,22.0,19.8,15.7,0.099,0.148,0.172,0.256
2026-07-29 07:00:00+00:00,24.9,10.1,39,0.0,0,1023.7,2.63,3.81,69,6.5,478.0,388.0,90.0,3600.0,0.0,0.0,1.91,0.35,22.3,22.0,19.8,15.7,0.098,0.148,0.172,0.256
2026-07-29 08:00:00+00:00,26.5,8.5,32,0.0,0,1023.8,2.36,3.08,73,7.1,631.0,531.0,100.0,3600.0,0.0,0.0,2.36,0.46,24.6,22.0,19.8,15.7,0.097,0.148,0.172,0.256
