time,generation_cross_border_electricity_trading_mw,generation_nuclear_mw,generation_hydro_run_of_river_mw,generation_biomass_mw,generation_fossil_brown_coal_lignite_mw,generation_fossil_oil_mw,generation_fossil_gas_mw,generation_geothermal_mw,generation_hydro_water_reservoir_mw,generation_others_mw,generation_other_renewables_mw,generation_waste_mw,wind_onshore_generation_mw,solar_generation_mw,load_mw,residual_load_mw,renewable_share_of_load_pct,renewable_share_of_generation_pct,flow_austria_gw,flow_croatia_gw,flow_romania_gw,flow_serbia_gw,flow_slovakia_gw,flow_slovenia_gw,flow_ukraine_gw,flow_sum_gw,net_import_mw
2026-08-07 22:00:00+00:00,3543.4,168.1,3.1,87.4,222.5,0.0,646.2,0.2,4.4,134.2,16.1,15.0,45.4,6.2,4884.3,4832.7,3.5,12.6,1.209,-0.416,-0.247,-0.053,2.729,0.145,0.231,3.597,7195.0
2026-08-07 22:15:00+00:00,3657.9,168.1,3.0,87.4,205.8,0.0,519.0,0.2,4.4,75.5,16.0,14.7,48.6,5.1,4808.8,4755.1,3.6,15.0,1.241,-0.438,-0.264,-0.053,2.799,0.157,0.231,3.673,7346.0
2026-08-07 22:30:00+00:00,3696.9,168.0,2.9,87.4,182.0,0.0,465.4,0.2,4.5,44.8,16.0,14.7,47.3,3.6,4729.8,4678.9,3.6,16.3,1.14,-0.368,-0.25,-0.053,2.782,0.156,0.231,3.638,7276.0
2026-08-07 22:45:00+00:00,3606.7,167.9,2.9,88.4,155.0,0.0,477.7,0.2,4.5,24.5,16.1,15.3,45.1,0.1,4648.6,4603.4,3.5,16.5,1.021,-0.314,-0.22,-0.053,2.729,0.146,0.231,3.539,7079.0
2026-08-07 23:00:00+00:00,3565.5,168.0,2.8,87.1,138.3,0.0,481.8,0.2,4.5,47.4,16.2,15.2,40.3,4.9,4570.0,4524.8,3.6,16.3,0.92,-0.3,-0.22,-0.029,2.702,0.118,0.295,3.487,6973.0
2026-08-07 23:15:00+00:00,3495.3,168.0,2.8,88.7,127.0,0.0,474.7,0.2,4.5,37.7,15.6,16.0,38.7,3.4,4497.7,4455.6,3.6,16.6,0.936,-0.333,-0.247,-0.029,2.725,0.127,0.295,3.474,6948.0
2026-08-07 23:30:00+00:00,3418.0,168.0,2.8,92.8,114.0,0.0,492.5,0.2,4.5,49.0,15.7,15.4,38.9,0.6,4435.8,4396.2,3.7,16.4,0.94,-0.38,-0.254,-0.029,2.741,0.127,0.295,3.441,6880.999999999999
2026-08-07 23:45:00+00:00,3366.7,168.1,2.8,94.1,123.3,0.0,492.0,0.2,4.5,40.9,15.7,15.2,37.9,0.1,4362.0,4324.0,3.7,16.4,0.935,-0.387,-0.247,-0.029,2.7,0.126,0.295,3.393,6786.0
2026-08-08 00:00:00+00:00,3300.9,168.1,2.8,96.7,120.9,0.0,488.9,0.2,4.5,30.5,15.7,15.8,36.5,0.3,4278.8,4242.1,3.8,16.8,0.848,-0.318,-0.244,0.01,2.596,0.113,0.271,3.278,6554.0
2026-08-08 00:15:00+00:00,3267.4,168.1,2.8,97.0,117.2,0.0,486.9,0.2,4.5,24.4,15.6,15.6,37.7,0.1,4262.8,4225.1,3.9,17.1,0.85,-0.333,-0.243,0.01,2.618,0.118,0.271,3.291,6581.999999999999
