metric,value,scope
temperature_mean_c,22.700000000000003,current
dew_point_mean_c,10.583333333333334,current
precipitation_total_mm,0.0,current
wind_speed_mean_ms,6.041666666666667,current
wind_gust_max_ms,11.2,current
pressure_mean_hpa,1017.5430555555556,current
pressure_range_hpa,6.900000000000091,current
cloud_cover_mean_pct,28.208333333333332,current
shortwave_total_wh_m2,16465.0,current
sunshine_total_s,139918.0,current
frost_hours,0.0,current
cooling_degree_days_c,14.7125,current
heating_degree_days_c,0.6124999999999999,current
temperature_mean_c,22.876666666666665,baseline_mean
precipitation_total_mm,2.4899999999999993,baseline_mean
wind_speed_mean_ms,4.380333333333334,baseline_mean
pressure_mean_hpa,1014.7166666666668,baseline_mean
cloud_cover_mean_pct,37.0,baseline_mean
shortwave_total_wh_m2,15748.611112371,baseline_mean
et0_total_mm,13.532999999999998,baseline_mean
water_balance_mm,-11.043,baseline_mean
