time,temperature_2m,dew_point_2m,relative_humidity_2m,precipitation,cloud_cover,pressure_msl,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,sunshine_duration,rain,snowfall,vapour_pressure_deficit,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,water_balance_mm,local_time
2026-06-01 22:00:00+00:00,15.6,15.4,98,1.6,100,1012.3,1.33,2.39,326,2.9,0.0,0.0,0.0,0.0,1.6,0.0,0.03,0.0,16.5,17.6,15.4,10.2,0.389,0.17,0.251,0.278,1.6,2026-06-02 00:00:00+02:00
2026-06-01 23:00:00+00:00,15.5,15.2,98,2.1,100,1012.3,2.48,4.48,332,4.4,0.0,0.0,0.0,0.0,2.1,0.0,0.03,0.0,16.4,17.5,15.4,10.2,0.406,0.175,0.251,0.278,2.1,2026-06-02 01:00:00+02:00
2026-06-02 00:00:00+00:00,14.9,14.7,98,2.2,88,1011.9,2.79,5.3,351,5.5,0.0,0.0,0.0,0.0,2.2,0.0,0.03,0.0,16.3,17.6,15.3,10.2,0.386,0.171,0.251,0.278,2.2,2026-06-02 02:00:00+02:00
2026-06-02 01:00:00+00:00,14.7,14.5,98,0.1,95,1011.9,2.48,4.79,341,4.8,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.0,16.0,17.4,15.3,10.2,0.379,0.174,0.251,0.278,0.1,2026-06-02 03:00:00+02:00
2026-06-02 02:00:00+00:00,14.5,14.2,98,0.2,98,1012.0,2.57,4.95,336,4.7,0.0,0.0,0.0,0.0,0.2,0.0,0.03,0.0,15.7,17.3,15.3,10.2,0.375,0.176,0.251,0.278,0.2,2026-06-02 04:00:00+02:00
2026-06-02 03:00:00+00:00,14.4,14.1,98,0.1,100,1012.1,2.21,4.45,332,4.7,1.0,0.0,1.0,0.0,0.1,0.0,0.03,0.0,15.5,17.2,15.3,10.2,0.369,0.178,0.251,0.278,0.1,2026-06-02 05:00:00+02:00
2026-06-02 04:00:00+00:00,15.0,14.6,98,0.1,52,1012.4,2.23,3.96,314,4.1,27.0,0.0,27.0,0.0,0.1,0.0,0.04,0.02,15.5,17.0,15.3,10.2,0.365,0.18,0.25,0.278,0.08,2026-06-02 06:00:00+02:00
2026-06-02 05:00:00+00:00,15.5,14.7,95,0.0,38,1012.5,2.8,4.29,329,5.7,89.0,2.0,87.0,0.0,0.0,0.0,0.09,0.05,15.8,16.9,15.3,10.2,0.36,0.182,0.25,0.278,-0.05,2026-06-02 07:00:00+02:00
2026-06-02 06:00:00+00:00,16.8,14.7,87,0.0,32,1012.6,2.97,4.11,347,6.7,297.0,173.0,124.0,3600.0,0.0,0.0,0.25,0.15,16.5,16.8,15.3,10.2,0.355,0.183,0.25,0.278,-0.15,2026-06-02 08:00:00+02:00
2026-06-02 07:00:00+00:00,18.2,14.2,77,0.0,48,1012.5,3.06,4.26,354,7.2,467.0,300.0,167.0,3600.0,0.0,0.0,0.47,0.25,17.5,16.8,15.3,10.2,0.349,0.184,0.25,0.278,-0.25,2026-06-02 09:00:00+02:00
2026-06-02 08:00:00+00:00,19.4,13.8,70,0.1,39,1012.6,3.17,4.36,354,7.5,563.0,391.0,172.0,3600.0,0.1,0.0,0.68,0.33,18.6,16.9,15.3,10.2,0.344,0.185,0.25,0.278,-0.23,2026-06-02 10:00:00+02:00
2026-06-02 09:00:00+00:00,20.5,13.3,63,0.1,26,1012.6,2.67,3.67,352,7.4,661.0,461.0,200.0,3600.0,0.1,0.0,0.88,0.4,19.7,17.0,15.3,10.2,0.339,0.186,0.25,0.278,-0.30000000000000004,2026-06-02 11:00:00+02:00
2026-06-02 10:00:00+00:00,21.5,12.9,58,0.2,27,1012.5,2.38,3.26,345,6.7,806.0,642.0,164.0,3600.0,0.2,0.0,1.07,0.5,20.8,17.2,15.3,10.2,0.334,0.187,0.25,0.278,-0.3,2026-06-02 12:00:00+02:00
2026-06-02 11:00:00+00:00,22.2,12.5,54,0.1,23,1012.1,1.92,2.64,332,6.3,774.0,524.0,250.0,3600.0,0.1,0.0,1.23,0.5,21.7,17.4,15.3,10.2,0.327,0.187,0.25,0.278,-0.4,2026-06-02 13:00:00+02:00
2026-06-02 12:00:00+00:00,23.2,11.5,48,0.1,25,1011.9,2.46,3.31,322,6.0,819.0,643.0,176.0,3600.0,0.1,0.0,1.49,0.54,22.7,17.6,15.3,10.2,0.315,0.189,0.25,0.278,-0.44000000000000006,2026-06-02 14:00:00+02:00
2026-06-02 13:00:00+00:00,23.3,11.5,47,0.1,9,1011.4,2.41,3.25,313,6.2,722.0,587.0,135.0,3600.0,0.1,0.0,1.51,0.48,23.0,17.8,15.3,10.2,0.309,0.189,0.25,0.278,-0.38,2026-06-02 15:00:00+02:00
2026-06-02 14:00:00+00:00,23.4,11.5,47,0.0,11,1011.1,2.34,3.18,304,6.1,663.0,541.0,122.0,3600.0,0.0,0.0,1.53,0.44,23.0,18.1,15.3,10.2,0.303,0.189,0.25,0.278,-0.44,2026-06-02 16:00:00+02:00
2026-06-02 15:00:00+00:00,23.3,11.4,47,0.0,23,1011.2,1.95,2.71,293,5.7,528.0,420.0,108.0,3600.0,0.0,0.0,1.51,0.35,22.9,18.3,15.3,10.2,0.298,0.189,0.25,0.278,-0.35,2026-06-02 17:00:00+02:00
2026-06-02 16:00:00+00:00,22.9,12.3,51,0.0,20,1011.1,1.81,2.65,246,4.6,344.0,243.0,101.0,3600.0,0.0,0.0,1.36,0.24,22.4,18.5,15.3,10.2,0.294,0.19,0.25,0.278,-0.24,2026-06-02 18:00:00+02:00
2026-06-02 17:00:00+00:00,21.5,14.6,65,0.0,16,1010.7,2.12,4.23,225,4.0,195.0,130.0,65.0,3600.0,0.0,0.0,0.9,0.13,21.6,18.6,15.3,10.2,0.292,0.19,0.25,0.278,-0.13,2026-06-02 19:00:00+02:00
2026-06-02 18:00:00+00:00,19.9,14.0,69,0.0,12,1010.6,1.46,3.9,264,3.8,68.0,34.0,34.0,3600.0,0.0,0.0,0.73,0.05,20.7,19.0,15.8,10.2,0.247,0.181,0.249,0.278,-0.05,2026-06-02 20:00:00+02:00
2026-06-02 19:00:00+00:00,18.9,13.6,71,0.0,12,1010.8,1.12,2.73,201,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.63,0.02,19.5,19.0,15.8,10.2,0.247,0.181,0.249,0.278,-0.02,2026-06-02 21:00:00+02:00
2026-06-02 20:00:00+00:00,17.8,13.8,78,0.0,27,1010.8,2.02,3.36,157,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.02,18.6,18.9,15.8,10.2,0.247,0.181,0.249,0.278,-0.02,2026-06-02 22:00:00+02:00
2026-06-02 21:00:00+00:00,17.0,12.7,76,0.0,42,1010.8,2.66,5.59,176,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.02,17.8,18.8,15.8,10.3,0.246,0.181,0.249,0.278,-0.02,2026-06-02 23:00:00+02:00
2026-06-02 22:00:00+00:00,16.7,11.9,73,0.0,84,1011.0,3.36,7.18,185,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.04,17.3,18.7,15.8,10.3,0.245,0.181,0.249,0.278,-0.04,2026-06-03 00:00:00+02:00
2026-06-02 23:00:00+00:00,16.5,12.6,78,0.0,76,1010.8,3.12,6.87,186,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.03,16.9,18.6,15.8,10.3,0.245,0.181,0.249,0.278,-0.03,2026-06-03 01:00:00+02:00
2026-06-03 00:00:00+00:00,15.8,14.0,89,0.0,10,1010.6,3.19,6.55,171,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.01,16.4,18.3,15.4,10.3,0.254,0.188,0.25,0.278,-0.01,2026-06-03 02:00:00+02:00
2026-06-03 01:00:00+00:00,15.7,13.9,89,0.0,7,1010.2,3.25,6.64,170,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.01,16.2,18.2,15.5,10.3,0.254,0.188,0.25,0.278,-0.01,2026-06-03 03:00:00+02:00
2026-06-03 02:00:00+00:00,15.3,13.8,91,0.0,4,1009.9,3.22,6.61,173,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.01,16.0,18.0,15.5,10.3,0.253,0.188,0.25,0.278,-0.01,2026-06-03 04:00:00+02:00
2026-06-03 03:00:00+00:00,15.1,13.9,93,0.0,6,1009.9,3.17,6.53,174,5.9,2.0,0.0,2.0,0.0,0.0,0.0,0.12,0.0,15.8,17.8,15.5,10.3,0.253,0.188,0.25,0.278,0.0,2026-06-03 05:00:00+02:00
2026-06-03 04:00:00+00:00,15.9,14.4,91,0.0,22,1010.0,3.35,6.46,180,6.2,66.0,32.0,34.0,3600.0,0.0,0.0,0.17,0.03,15.9,17.7,15.5,10.3,0.253,0.189,0.25,0.278,-0.03,2026-06-03 06:00:00+02:00
2026-06-03 05:00:00+00:00,17.6,15.3,87,0.0,45,1010.1,2.85,6.88,180,6.3,205.0,136.0,69.0,3600.0,0.0,0.0,0.27,0.1,16.6,17.6,15.5,10.3,0.252,0.189,0.25,0.278,-0.1,2026-06-03 07:00:00+02:00
