time,cape,convective_inhibition,freezing_level_height,boundary_layer_height,total_column_integrated_water_vapour,wet_bulb_temperature_2m
2026-09-10 00:00:00+00:00,10.0,0.0,3760.0,165.0,31.1,14.6
2026-09-10 01:00:00+00:00,240.0,742.0,3770.0,275.0,34.3,15.5
2026-09-10 02:00:00+00:00,370.0,115.0,3730.0,260.0,36.2,15.7
2026-09-10 03:00:00+00:00,110.0,5.0,3730.0,340.0,36.1,14.8
2026-09-10 04:00:00+00:00,300.0,269.0,3740.0,295.0,37.1,16.3
2026-09-10 05:00:00+00:00,100.0,0.0,3730.0,275.0,37.5,17.7
2026-09-10 06:00:00+00:00,20.0,0.0,3750.0,305.0,37.3,18.2
2026-09-10 07:00:00+00:00,10.0,0.0,3720.0,545.0,37.6,17.6
2026-09-10 08:00:00+00:00,0.0,0.0,3820.0,845.0,37.4,17.5
2026-09-10 09:00:00+00:00,0.0,0.0,3880.0,860.0,35.7,18.1
2026-09-10 10:00:00+00:00,0.0,0.0,3900.0,1125.0,35.3,18.8
2026-09-10 11:00:00+00:00,0.0,0.0,3940.0,1405.0,35.9,19.0
2026-09-10 12:00:00+00:00,0.0,0.0,3900.0,1575.0,36.1,19.1
2026-09-10 13:00:00+00:00,0.0,0.0,3920.0,1760.0,37.2,18.4
2026-09-10 14:00:00+00:00,0.0,0.0,3960.0,1650.0,37.6,17.5
2026-09-10 15:00:00+00:00,20.0,0.0,3890.0,1595.0,37.2,16.8
2026-09-10 16:00:00+00:00,10.0,0.0,3980.0,1265.0,37.3,16.4
2026-09-10 17:00:00+00:00,30.0,0.0,3810.0,265.0,36.6,15.8
2026-09-10 18:00:00+00:00,0.0,0.0,3880.0,225.0,35.1,15.1
2026-09-10 19:00:00+00:00,20.0,0.0,3890.0,225.0,33.1,14.7
2026-09-10 20:00:00+00:00,0.0,0.0,3810.0,195.0,32.9,14.4
2026-09-10 21:00:00+00:00,0.0,0.0,3780.0,160.0,32.9,14.0
2026-09-10 22:00:00+00:00,0.0,0.0,3760.0,145.0,32.3,14.0
2026-09-10 23:00:00+00:00,0.0,0.0,3780.0,145.0,33.0,13.7
2026-09-11 00:00:00+00:00,0.0,0.0,3690.0,175.0,33.0,13.3
2026-09-11 01:00:00+00:00,0.0,0.0,3740.0,205.0,32.6,13.0
2026-09-11 02:00:00+00:00,0.0,0.0,3820.0,195.0,33.0,12.6
2026-09-11 03:00:00+00:00,0.0,0.0,3860.0,190.0,33.7,12.3
2026-09-11 04:00:00+00:00,0.0,0.0,3810.0,190.0,34.2,12.1
