time,generation_cross_border_electricity_trading_mw,generation_nuclear_mw,generation_hydro_run_of_river_mw,generation_biomass_mw,generation_fossil_brown_coal_lignite_mw,generation_fossil_oil_mw,generation_fossil_gas_mw,generation_geothermal_mw,generation_hydro_water_reservoir_mw,generation_others_mw,generation_other_renewables_mw,generation_waste_mw,wind_onshore_generation_mw,solar_generation_mw,load_mw,residual_load_mw,renewable_share_of_load_pct,renewable_share_of_generation_pct,day_ahead_price_eur_mwh,flow_austria_gw,flow_croatia_gw,flow_romania_gw,flow_serbia_gw,flow_slovakia_gw,flow_slovenia_gw,flow_ukraine_gw,flow_sum_gw,net_import_mw
2026-09-19 22:00:00+00:00,1868.5,1413.3,2.1,145.1,174.5,0.0,230.2,0.2,2.5,103.2,18.9,20.0,8.4,0.2,4059.5,4051.0,4.6,8.8,220.5,0.831,-0.773,-0.386,-0.312,2.443,-0.109,0.2,1.894,3788.0
2026-09-19 22:15:00+00:00,1846.3,1412.3,2.1,142.9,185.3,0.0,209.6,0.2,2.5,27.1,18.6,19.6,7.2,0.1,4003.0,3995.6,4.6,9.0,222.38,0.806,-0.807,-0.354,-0.312,2.544,-0.136,0.2,1.941,3882.0
2026-09-19 22:30:00+00:00,1882.1,1412.4,2.1,142.5,186.0,0.0,213.1,0.2,2.5,24.1,19.0,19.5,7.3,0.2,3983.0,3975.5,4.6,9.0,222.14,0.779,-0.808,-0.351,-0.312,2.543,-0.138,0.2,1.913,3826.0
2026-09-19 22:45:00+00:00,1810.4,1414.0,2.1,142.6,185.5,0.0,213.2,0.2,2.5,25.9,18.8,20.0,5.3,0.2,3879.6,3874.1,4.7,9.0,222.43,0.749,-0.825,-0.365,-0.312,2.547,-0.146,0.2,1.848,3696.0000000000005
2026-09-19 23:00:00+00:00,1652.7,1414.3,2.1,143.1,184.2,0.0,220.2,0.2,2.5,45.9,18.7,19.4,4.0,0.7,3800.6,3795.9,4.8,8.8,225.06,0.764,-0.839,-0.419,-0.339,2.597,-0.14,0.141,1.766,3531.0
2026-09-19 23:15:00+00:00,1568.6,1413.7,2.1,143.1,185.9,0.0,227.2,0.2,2.5,27.9,18.3,19.9,3.1,0.4,3744.0,3740.5,4.8,8.8,221.05,0.706,-0.818,-0.401,-0.339,2.515,-0.161,0.141,1.644,3287.0
2026-09-19 23:30:00+00:00,1573.4,1414.2,2.1,143.3,186.0,0.0,210.9,0.2,2.5,29.4,18.4,19.5,2.2,0.7,3715.3,3712.5,4.8,8.8,218.96,0.697,-0.848,-0.414,-0.339,2.578,-0.184,0.141,1.631,3262.0
2026-09-19 23:45:00+00:00,1580.2,1414.8,2.1,143.5,185.9,0.0,202.3,0.2,2.5,32.1,17.7,20.0,2.1,0.5,3652.7,3650.0,4.9,8.8,215.94,0.7,-0.912,-0.434,-0.339,2.671,-0.218,0.141,1.609,3218.0
2026-09-20 00:00:00+00:00,1583.1,1414.7,2.1,143.6,185.9,0.0,182.8,0.2,2.5,26.4,17.5,19.9,2.6,0.2,3634.7,3632.0,4.9,8.9,216.13,0.712,-0.876,-0.421,-0.328,2.594,-0.197,0.171,1.655,3309.9999999999995
2026-09-20 00:15:00+00:00,1594.5,1414.6,2.1,143.4,185.3,0.0,183.2,0.2,2.5,22.1,17.5,20.2,2.3,0.3,3612.4,3609.8,4.9,9.0,220.87,0.678,-0.83,-0.393,-0.328,2.477,-0.206,0.171,1.568,3137.0
2026-09-20 00:30:00+00:00,1557.9,1415.1,2.1,143.8,185.8,0.0,190.1,0.2,2.5,51.9,17.5,20.0,2.4,1.0,3626.3,3623.0,5.0,8.8,215.01,0.685,-0.876,-0.398,-0.328,2.544,-0.23,0.171,1.568,3136.0
2026-09-20 00:45:00+00:00,1597.5,1414.9,2.1,143.9,185.9,0.0,195.8,0.2,2.5,49.7,17.3,20.2,2.5,1.5,3627.6,3623.5,5.0,8.8,214.49,0.682,-0.86,-0.399,-0.328,2.518,-0.234,0.171,1.551,3101.0
2026-09-20 01:00:00+00:00,1522.2,1416.1,2.1,144.1,185.4,0.0,190.6,0.2,2.5,36.5,17.3,20.4,2.3,1.1,3634.9,3631.5,5.0,8.9,217.17,0.715,-0.85,-0.407,-0.317,2.524,-0.221,0.173,1.616,3233.0
