time,temperature_2m,dew_point_2m,relative_humidity_2m,precipitation,cloud_cover,pressure_msl,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,sunshine_duration
2026-07-19 22:00:00+00:00,21.7,15.2,66,0.0,72,1013.4,2.93,5.62,314,5.2,0.0,0.0,0.0,0.0
2026-07-19 23:00:00+00:00,21.4,15.2,68,0.0,62,1013.3,2.42,4.83,333,5.6,0.0,0.0,0.0,0.0
2026-07-20 00:00:00+00:00,19.0,16.3,84,0.1,43,1013.9,2.31,4.6,321,4.5,0.0,0.0,0.0,0.0
2026-07-20 01:00:00+00:00,19.0,16.3,84,0.0,33,1013.9,2.77,5.04,7,4.9,0.0,0.0,0.0,0.0
2026-07-20 02:00:00+00:00,18.6,16.3,86,0.0,7,1014.2,2.38,4.33,352,5.0,0.0,0.0,0.0,0.0
2026-07-20 03:00:00+00:00,17.9,15.6,86,0.0,8,1015.1,3.25,5.94,359,6.3,0.0,0.0,0.0,0.0
2026-07-20 04:00:00+00:00,18.2,14.9,81,0.0,0,1015.8,3.11,5.46,354,6.1,37.0,17.0,20.0,3447.15
2026-07-20 05:00:00+00:00,19.4,14.6,74,0.0,2,1016.2,3.41,5.0,357,7.3,166.0,109.0,57.0,3600.0
2026-07-20 06:00:00+00:00,20.3,14.3,68,0.0,99,1017.0,3.2,4.48,350,8.1,326.0,240.0,86.0,3600.0
2026-07-20 07:00:00+00:00,21.7,13.3,59,0.0,73,1017.1,3.21,4.46,356,7.9,434.0,238.0,196.0,3600.0
2026-07-20 08:00:00+00:00,23.0,11.9,50,0.0,38,1017.4,2.87,3.82,354,7.9,535.0,308.0,227.0,3600.0
2026-07-20 09:00:00+00:00,24.2,11.3,44,0.0,65,1017.5,1.9,2.48,325,7.4,622.0,372.0,250.0,3600.0
2026-07-20 10:00:00+00:00,24.6,11.2,43,0.0,80,1017.7,2.02,2.53,293,6.1,579.0,346.0,233.0,3600.0
2026-07-20 11:00:00+00:00,25.9,10.6,38,0.0,53,1017.1,2.5,3.2,269,7.1,713.0,426.0,287.0,3600.0
2026-07-20 12:00:00+00:00,27.1,11.0,37,0.0,10,1016.4,2.55,3.32,247,7.6,803.0,622.0,181.0,3600.0
2026-07-20 13:00:00+00:00,27.4,10.6,35,0.0,4,1016.2,2.84,3.78,244,7.9,804.0,682.0,122.0,3600.0
2026-07-20 14:00:00+00:00,27.8,9.6,32,0.0,12,1015.8,2.36,3.15,234,7.8,700.0,594.0,106.0,3600.0
2026-07-20 15:00:00+00:00,28.2,7.3,27,0.0,54,1015.4,2.13,2.91,240,6.7,564.0,469.0,95.0,3600.0
2026-07-20 16:00:00+00:00,27.9,5.1,23,0.0,16,1015.5,3.08,4.24,263,6.9,392.0,302.0,90.0,3600.0
2026-07-20 17:00:00+00:00,26.9,4.1,23,0.0,71,1015.2,3.26,5.07,275,7.4,222.0,158.0,64.0,3600.0
2026-07-20 18:00:00+00:00,25.3,2.3,22,0.0,2,1015.7,4.6,8.21,284,6.2,73.0,35.0,38.0,3600.0
2026-07-20 19:00:00+00:00,24.6,2.5,24,0.0,5,1016.2,5.09,8.96,293,9.7,2.0,1.0,1.0,0.0
2026-07-20 20:00:00+00:00,23.2,3.6,28,0.0,2,1016.7,3.6,6.83,299,9.6,0.0,0.0,0.0,0.0
2026-07-20 21:00:00+00:00,21.9,4.7,32,0.0,9,1017.2,3.06,6.08,298,6.5,0.0,0.0,0.0,0.0
2026-07-20 22:00:00+00:00,21.1,5.5,36,0.0,17,1017.4,2.51,5.19,305,5.3,0.0,0.0,0.0,0.0
2026-07-20 23:00:00+00:00,20.5,5.9,39,0.0,3,1017.3,2.5,4.87,327,4.2,0.0,0.0,0.0,0.0
2026-07-21 00:00:00+00:00,18.4,6.3,45,0.0,0,1017.4,1.35,3.43,285,4.2,0.0,0.0,0.0,0.0
2026-07-21 01:00:00+00:00,17.6,6.7,49,0.0,2,1017.2,1.77,3.11,292,2.9,0.0,0.0,0.0,0.0
2026-07-21 02:00:00+00:00,16.9,7.2,53,0.0,1,1017.3,2.15,3.48,298,3.6,0.0,0.0,0.0,0.0
2026-07-21 03:00:00+00:00,16.1,7.7,58,0.0,8,1017.6,1.74,2.84,321,3.6,0.0,0.0,0.0,0.0
2026-07-21 04:00:00+00:00,16.8,8.3,57,0.0,23,1017.9,1.57,2.38,338,2.8,37.0,18.0,19.0,3383.32
2026-07-21 05:00:00+00:00,19.1,8.9,52,0.0,0,1018.0,1.03,2.25,346,3.1,158.0,96.0,62.0,3600.0
2026-07-21 06:00:00+00:00,21.1,9.4,47,0.0,4,1018.5,0.29,0.67,239,3.1,335.0,256.0,79.0,3600.0
2026-07-21 07:00:00+00:00,24.0,6.5,32,0.0,1,1018.2,1.43,1.96,282,4.8,502.0,404.0,98.0,3600.0
2026-07-21 08:00:00+00:00,25.0,4.7,27,0.0,12,1018.1,2.48,3.34,298,7.0,660.0,558.0,102.0,3600.0
2026-07-21 09:00:00+00:00,25.8,5.1,26,0.0,4,1017.7,2.57,3.43,277,7.4,783.0,672.0,111.0,3600.0
2026-07-21 10:00:00+00:00,26.8,4.5,24,0.0,0,1017.2,3.62,4.81,264,9.2,868.0,758.0,110.0,3600.0
2026-07-21 11:00:00+00:00,27.4,3.5,22,0.0,1,1016.7,4.35,5.9,271,10.7,902.0,791.0,111.0,3600.0
2026-07-21 12:00:00+00:00,28.2,3.6,21,0.0,0,1016.0,4.12,5.64,276,10.7,882.0,773.0,109.0,3600.0
2026-07-21 13:00:00+00:00,28.3,3.3,20,0.0,0,1015.3,4.0,5.46,273,10.3,817.0,712.0,105.0,3600.0
2026-07-21 14:00:00+00:00,28.3,3.3,20,0.0,5,1015.1,3.92,5.27,275,9.9,707.0,608.0,99.0,3600.0
2026-07-21 15:00:00+00:00,28.1,3.4,21,0.0,93,1015.1,3.56,4.86,266,9.5,563.0,472.0,91.0,3600.0
2026-07-21 16:00:00+00:00,27.4,3.2,21,0.0,97,1015.1,3.91,5.5,251,8.8,350.0,204.0,146.0,3600.0
2026-07-21 17:00:00+00:00,26.1,3.2,23,0.0,94,1015.0,3.95,6.0,271,9.0,178.0,72.0,106.0,3600.0
2026-07-21 18:00:00+00:00,24.7,4.6,27,0.0,99,1014.9,4.83,8.5,254,8.3,59.0,14.0,45.0,1692.61
2026-07-21 19:00:00+00:00,23.7,5.5,31,0.0,38,1015.2,3.45,5.91,287,9.8,2.0,0.0,2.0,0.0
2026-07-21 20:00:00+00:00,21.6,7.8,41,0.0,23,1015.5,5.22,8.81,32,9.7,0.0,0.0,0.0,0.0
2026-07-21 21:00:00+00:00,20.4,9.2,49,0.0,14,1016.0,4.6,7.9,22,10.0,0.0,0.0,0.0,0.0
2026-07-21 22:00:00+00:00,19.4,10.1,55,0.0,7,1016.3,4.56,7.81,21,8.9,0.0,0.0,0.0,0.0
2026-07-21 23:00:00+00:00,18.6,10.2,58,0.0,9,1016.5,4.46,7.67,16,8.8,0.0,0.0,0.0,0.0
2026-07-22 00:00:00+00:00,17.9,9.5,58,0.0,3,1016.0,5.15,8.86,14,8.8,0.0,0.0,0.0,0.0
2026-07-22 01:00:00+00:00,17.5,9.3,59,0.0,21,1015.7,5.59,9.51,13,10.9,0.0,0.0,0.0,0.0
2026-07-22 02:00:00+00:00,17.0,9.6,62,0.0,55,1015.7,5.14,8.85,11,10.9,0.0,0.0,0.0,0.0
2026-07-22 03:00:00+00:00,16.9,10.1,64,0.0,93,1015.7,4.55,7.74,12,9.9,0.0,0.0,0.0,0.0
2026-07-22 04:00:00+00:00,17.0,10.5,66,0.0,63,1016.1,4.58,7.35,11,9.2,23.0,7.0,16.0,1029.21
2026-07-22 05:00:00+00:00,17.3,10.9,66,0.0,59,1016.4,4.24,6.45,12,9.2,106.0,42.0,64.0,3600.0
2026-07-22 06:00:00+00:00,18.5,10.7,60,0.0,74,1016.3,5.13,7.64,15,10.0,214.0,104.0,110.0,3600.0
2026-07-22 07:00:00+00:00,19.4,10.0,55,0.0,100,1016.2,4.81,7.01,19,11.0,247.0,89.0,158.0,3081.87
2026-07-22 08:00:00+00:00,19.7,9.5,52,0.0,100,1016.4,3.91,5.74,10,10.4,138.0,0.0,138.0,0.0
2026-07-22 09:00:00+00:00,21.1,8.9,46,0.0,92,1016.6,3.56,5.07,4,8.5,248.0,28.0,220.0,0.0
2026-07-22 10:00:00+00:00,23.1,8.1,38,0.0,42,1016.2,3.51,4.81,356,8.8,577.0,344.0,233.0,3600.0
2026-07-22 11:00:00+00:00,23.5,7.7,36,0.0,31,1016.0,3.86,5.22,341,9.4,620.0,399.0,221.0,3600.0
2026-07-22 12:00:00+00:00,23.3,8.0,38,0.0,51,1015.9,3.35,4.61,357,9.7,729.0,545.0,184.0,3600.0
2026-07-22 13:00:00+00:00,24.1,7.5,35,0.1,38,1015.6,3.2,4.31,346,8.4,615.0,446.0,169.0,3600.0
2026-07-22 14:00:00+00:00,24.7,5.9,30,0.0,22,1015.3,2.82,3.84,340,8.2,593.0,467.0,126.0,3600.0
2026-07-22 15:00:00+00:00,24.8,4.4,27,0.0,26,1015.0,2.8,3.76,357,7.4,446.0,333.0,113.0,3600.0
2026-07-22 16:00:00+00:00,24.4,2.6,24,0.0,15,1015.1,3.07,4.2,16,7.3,342.0,247.0,95.0,3600.0
2026-07-22 17:00:00+00:00,23.7,2.3,25,0.0,10,1014.9,2.8,3.89,27,7.2,206.0,140.0,66.0,3600.0
2026-07-22 18:00:00+00:00,22.2,3.3,29,0.0,24,1015.2,3.58,6.14,41,6.0,66.0,35.0,31.0,3600.0
2026-07-22 19:00:00+00:00,21.3,3.3,31,0.0,31,1015.6,2.55,4.95,50,6.6,2.0,0.0,2.0,0.0
2026-07-22 20:00:00+00:00,20.3,3.6,33,0.0,33,1015.6,2.12,3.87,45,4.4,0.0,0.0,0.0,0.0
2026-07-22 21:00:00+00:00,19.7,3.6,34,0.0,64,1015.6,1.9,3.45,27,3.6,0.0,0.0,0.0,0.0
2026-07-22 22:00:00+00:00,19.5,3.4,34,0.0,88,1015.6,2.18,3.61,37,3.7,0.0,0.0,0.0,0.0
2026-07-22 23:00:00+00:00,18.6,3.5,37,0.0,44,1015.4,2.42,4.21,60,4.1,0.0,0.0,0.0,0.0
2026-07-23 00:00:00+00:00,17.1,4.3,43,0.0,73,1015.3,1.99,4.18,78,4.2,0.0,0.0,0.0,0.0
2026-07-23 01:00:00+00:00,16.8,4.5,44,0.0,37,1014.7,2.09,4.12,130,3.6,0.0,0.0,0.0,0.0
2026-07-23 02:00:00+00:00,15.4,4.9,49,0.0,49,1014.1,2.44,4.85,145,4.2,0.0,0.0,0.0,0.0
2026-07-23 03:00:00+00:00,15.1,5.2,52,0.0,45,1014.0,1.95,4.44,130,4.2,0.0,0.0,0.0,0.0
2026-07-23 04:00:00+00:00,15.3,5.7,53,0.0,44,1014.3,0.74,1.12,42,3.2,31.0,12.0,19.0,2971.53
2026-07-23 05:00:00+00:00,17.3,6.0,47,0.0,20,1014.3,0.72,0.87,124,2.6,146.0,75.0,71.0,3600.0
2026-07-23 06:00:00+00:00,18.9,6.7,45,0.0,38,1014.2,1.66,2.35,151,5.1,326.0,245.0,81.0,3600.0
2026-07-23 07:00:00+00:00,20.6,8.4,45,0.0,48,1013.8,1.83,2.53,169,5.4,399.0,272.0,127.0,3600.0
2026-07-23 08:00:00+00:00,23.3,8.9,40,0.0,91,1013.5,2.5,3.35,196,7.0,622.0,463.0,159.0,3600.0
2026-07-23 09:00:00+00:00,24.0,7.8,36,0.0,63,1013.3,3.15,4.17,223,8.1,508.0,201.0,307.0,3600.0
2026-07-23 10:00:00+00:00,25.2,7.3,32,0.0,46,1012.9,3.69,4.97,245,9.3,647.0,423.0,224.0,3600.0
2026-07-23 11:00:00+00:00,26.0,7.4,31,0.0,12,1012.0,4.31,5.84,255,10.6,800.0,600.0,200.0,3600.0
2026-07-23 12:00:00+00:00,25.4,6.7,30,0.0,63,1011.7,5.39,7.31,251,11.8,838.0,700.0,138.0,3600.0
2026-07-23 13:00:00+00:00,25.0,7.3,32,0.0,45,1011.3,5.01,6.9,258,12.6,648.0,476.0,172.0,3600.0
2026-07-23 14:00:00+00:00,23.7,8.5,38,0.2,93,1011.1,6.09,8.46,251,13.3,573.0,397.0,176.0,3600.0
2026-07-23 15:00:00+00:00,23.0,9.6,43,0.2,44,1011.1,4.81,6.84,253,13.4,391.0,220.0,171.0,3600.0
2026-07-23 16:00:00+00:00,21.7,9.9,47,0.3,23,1011.1,3.87,5.6,250,11.5,307.0,181.0,126.0,3600.0
