metric,value,scope
temperature_mean_c,21.191071428571426,current
dew_point_mean_c,8.493452380952382,current
precipitation_total_mm,1.4000000000000001,current
wind_speed_mean_ms,4.849464285714286,current
wind_gust_max_ms,13.4,current
pressure_mean_hpa,1014.0303571428572,current
pressure_range_hpa,11.399999999999977,current
cloud_cover_mean_pct,29.023809523809526,current
shortwave_total_wh_m2,47465.0,current
sunshine_total_s,363350.01,current
frost_hours,0.0,current
cooling_degree_days_c,26.600000000000005,current
heating_degree_days_c,4.2625,current
temperature_mean_c,23.86154761904762,baseline_mean
dew_point_mean_c,15.094702380952379,baseline_mean
precipitation_total_mm,11.790000000000001,baseline_mean
wind_speed_mean_ms,4.205660714285714,baseline_mean
wind_gust_max_ms,11.79,baseline_mean
pressure_mean_hpa,1012.8729166666668,baseline_mean
pressure_range_hpa,10.670000000000005,baseline_mean
cloud_cover_mean_pct,46.93571428571429,baseline_mean
shortwave_total_wh_m2,42972.6,baseline_mean
sunshine_total_s,328834.64499999996,baseline_mean
frost_hours,0.0,baseline_mean
cooling_degree_days_c,41.506249999999994,baseline_mean
heating_degree_days_c,0.4754166666666667,baseline_mean
